Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,28753174,0.009370828,9.370828,,159.1,,,,180685540,0.058886476,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1962,3126686700,30305242,0.009692446,9.692446,,157.6,,,,192280560,0.061496586,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1963,3195779300,31973646,0.010004961,10.004961,,158.3,,,,201995840,0.06320707,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1964,3267212300,32434628,0.00992731,9.92731,,162,,,,200177380,0.061268557,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1965,3337112000,33038106,0.009900209,9.900209,,165.1,,,,200169780,0.059982937,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1966,3406417000,34751600,0.010201804,10.201804,,169.2,,,,205404130,0.060299173,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1967,3475448000,36494636,0.010500699,10.500699000000001,,170.90001,,,,213544350,0.06144369,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1968,3546811000,38225144,0.010777328,10.777327999999999,,173.5,,,,220287800,0.0621087,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1969,3620655400,39208590,0.010829142,10.829142,,177.3,,,,221085170,0.061062194,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1970,3695390200,39658852,0.010731979,10.731979,,180.2,,,,220116290,0.0595651,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1971,3770163200,39410330,0.010453216,10.453216,,183.90001,,,,214260030,0.05683044,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1972,3844800800,39895932,0.010376593,10.376593,,186.40001,,,,214035620,0.055668846,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1973,3920251400,40257684,0.0102691585,10.2691585,,187.90001,,,,214304670,0.054666054,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1974,3995517000,43309140,0.010839433,10.839433000000001,,190.3,,,,227638350,0.056973442,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1975,4069437200,45195864,0.011106171,11.106171,,185.5,,,,243700930,0.05988566,,,,,,,,,,,,,,,,,,,,,,,,,,
