Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,876874500,0.28577855,285.77855,1.3532,,647997200,0.21118608,2111.8608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1962,3126686700,933372900,0.2985182,298.51820000000004,1.4275,,653839500,0.20911576,2091.1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1963,3195779300,949345860,0.2970624,297.0624,1.4401,,659234400,0.20628284,2062.8284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1964,3267212300,1001214000,0.30644292,306.44292,1.4937999,,670231900,0.20513876,2051.3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1965,3337112000,998593000,0.29923868,299.23868,1.4966999,,667195140,0.19993189,1999.3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1966,3406417000,1078340200,0.31656143,316.56143,1.6101999,,669679000,0.19659337,1965.9336999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1967,3475448000,1124081300,0.32343492,323.43492000000003,1.6532999,,679890940,0.19562684,1956.2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1968,3546811000,1160679000,0.32724583,327.24583,1.6963999,,684204600,0.19290699,1929.0699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1969,3620655400,1170980100,0.32341662,323.41661999999997,1.7088,,685279100,0.18926935,1892.6935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1970,3695390200,1192507600,0.32270142,322.70142000000004,1.7655,,675463500,0.18278544,1827.8544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1971,3770163200,1299667700,0.34472454,344.72454000000005,1.8922,,686870100,0.18218577,1821.8577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1972,3844800800,1258478700,0.32731962,327.31962,1.8582,,677270400,0.17615227,1761.5227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1973,3920251400,1357015200,0.34615514,346.15513999999996,1.9404,,699334850,0.17839031,1783.9031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1974,3995517000,1326549500,0.3320095,332.0095,1.8925999,,700898900,0.17542133,1754.2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1975,4069437200,1359804000,0.3341504,334.1504,1.9125999,,710954400,0.17470582,1747.0582000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1976,4142505700,1463711100,0.35333955,353.33955,2.0259,,722485250,0.17440778,1744.0778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1977,4215772400,1456344200,0.34545133,345.45133,2.0253,,719085300,0.17057024,1705.7024000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1978,4289657600,1582019600,0.36879858,368.79858,2.2126,,714992400,0.16667819,1666.7819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1979,4365583000,1537501600,0.352187,352.18699999999995,2.1761,,706546750,0.16184478,1618.4478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1980,4444008000,1549912200,0.3487645,348.7645,2.1611,,717195650,0.16138487,1613.8487000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1981,4524627500,1632382100,0.3607771,360.7771,2.2468,,726548100,0.16057633,1605.7632999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1982,4607984600,1692539900,0.3673059,367.3059,2.3693,,714356160,0.15502572,1550.2572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1983,4691884000,1626946300,0.34675756,346.75756,2.3086,,704733500,0.15020266,1502.0266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1984,4775836000,1786795500,0.3741325,374.1325,2.4991,,714977660,0.14970733,1497.0733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1985,4861731000,1821240800,0.3746075,374.60749999999996,2.5288,,720193300,0.14813516,1481.3516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1986,4950063000,1834022400,0.37050486,370.50486,2.5567,,717353000,0.14491795,1449.1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1987,5040984600,1771529000,0.3514252,351.4252,2.5397,,697528700,0.13837153,1383.7152999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1988,5132294000,1727627500,0.33661896,336.61896,2.4599,,702303400,0.13684006,1368.4006000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1989,5223704000,1871355600,0.35824305,358.24305,2.6292,,711767300,0.1362572,1362.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1990,5316176000,1952573800,0.36728916,367.28916,2.7575998,,708073600,0.13319229,1331.9228999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1991,5406246000,1893877600,0.3503129,350.31289999999996,2.6831,,705844100,0.13056086,1305.6086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1992,5492686300,1969217900,0.35851637,358.51637,2.7828,,707637300,0.12883264,1288.3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1993,5577433600,1901137800,0.34086248,340.86248,2.7380998,,694318500,0.1244871,1244.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1994,5660728000,1966897900,0.3474638,347.4638,2.8226,,696836350,0.12310013,1231.0013000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1995,5743219700,1888100100,0.3287529,328.7529,2.7635999,,683197100,0.11895716,1189.5716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1996,5825145300,2053382100,0.35250315,352.50315,2.9420998,,697936700,0.11981447,1198.1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1997,5906481000,2100458900,0.35561934,355.61934,2.9945,,701445700,0.11875864,1187.5864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1998,5987312600,2083222100,0.34793943,347.93943,3.0644999,,679796900,0.11353958,1135.3958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1999,6067758600,2080891500,0.34294236,342.94236,3.1049,,670194240,0.1104517,1104.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2000,6148899000,2059729500,0.33497536,334.97536,3.0677,,671435000,0.10919598,1091.9598,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2001,6230747000,2105129300,0.33786145,337.86145,3.1304,,672484600,0.10793001,1079.3001000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2002,6312407600,2054074900,0.32540277,325.40277000000003,3.1044998,,661638100,0.10481549,1048.1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2003,6393898500,2074491300,0.3244486,324.4486,3.0937,,670556160,0.10487438,1048.7438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2004,6475751400,2285769200,0.35297358,352.97358,3.3776999,,676726600,0.104501635,1045.0163499999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2005,6558176000,2266943500,0.34566677,345.66677,3.2673,,693831500,0.105796404,1057.96404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2006,6641416000,2255427800,0.33960044,339.60044,3.3074,,681928800,0.102678224,1026.78224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2007,6725948400,2347281700,0.34898895,348.98895000000005,3.3730998,,695874400,0.10346116,1034.6116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2008,6811597300,2520756200,0.3700683,370.0683,3.5375998,,712551940,0.10460864,1046.0864000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2009,6898306000,2488527600,0.36074474,360.74474000000004,3.5554998,,699913150,0.1014616,1014.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2010,6985603000,2463449600,0.35264665,352.64665,3.5468998,,694535740,0.09942388,994.2388000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2011,7073125400,2585246700,0.36550274,365.50274,3.656,,707115700,0.09997217,999.7216999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2012,7161698000,2556927500,0.35702813,357.02813,3.6148,,707353400,0.09876896,987.6896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2013,7250593300,2763399200,0.38112733,381.12733,3.8228,,722872900,0.09969845,996.9844999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2014,7339013600,2817949700,0.38396844,383.96844000000004,3.8962,,723247740,0.09854836,985.4836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2015,7426597400,2837713400,0.38210142,382.10142,3.928,,722432300,0.09727635,972.7635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2016,7513474000,2915083300,0.38798076,387.98076,4.0084,,727238000,0.09679118,967.9118000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2017,7599822300,2967136300,0.39042178,390.42178,4.0751,,728122240,0.0958078,958.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2018,7683790000,2914528800,0.37930876,379.30876,4.035,,722304600,0.094003685,940.0368500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2019,7764951000,2963503600,0.38165128,381.65128,4.1317997,,717239550,0.09236884,923.6883999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2020,7840953000,3003637200,0.38307044,383.07044,4.1008,,732455360,0.093414076,934.14076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2021,7909295000,3071264000,0.3883107,388.3107,4.1521997,,739665660,0.09351853,935.1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2022,7975105000,3059640300,0.3836489,383.6489,4.1823997,,731553800,0.09172968,917.2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,
