Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,335922.1,0.00010947898,0.10947898,,1.4817,,,,226713000,0.073887095,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1962,3126686700,346045.06,0.000110674686,0.110674686,,1.4713,,,,235197000,0.07522244,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1963,3195779300,366765.22,0.0001147655,0.11476549999999999,,1.4634999,,,,250608000,0.07841843,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1964,3267212300,381956.56,0.000116905954,0.116905954,,1.4749999,,,,258949000,0.07925686,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1965,3337112000,402145.66,0.00012050709,0.12050709,,1.4739,,,,272838000,0.081758715,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1966,3406417000,417094.9,0.00012244387,0.12244387000000001,,1.4695,,,,283829000,0.08332186,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1967,3475448000,433901.62,0.00012484768,0.12484768,,1.479,,,,293365000,0.0844107,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1968,3546811000,451276,0.0001272343,0.1272343,,1.4818,,,,304553000,0.08586671,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1969,3620655400,466106.38,0.00012873537,0.12873537000000002,,1.4782,,,,315310000,0.08708645,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1970,3695390200,500841.25,0.00013553136,0.13553136000000002,,1.4878,,,,336631000,0.091094844,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1971,3770163200,521801.4,0.00013840287,0.13840287,,1.4871,,,,350875000,0.09306626,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1972,3844800800,530516.06,0.00013798272,0.13798272,,1.48,,,,358449000,0.09322954,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1973,3920251400,558946.3,0.0001425792,0.14257920000000002,,1.4961,,,,373609000,0.095302306,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1974,3995517000,578956.25,0.00014490147,0.14490147,,1.4984,,,,386389000,0.09670564,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1975,4069437200,570701,0.00014024077,0.14024077000000001,,1.4962,,,,381434000,0.09373139,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1976,4142505700,589995.25,0.00014242473,0.14242473,,1.4883,,,,396430000,0.09569812,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1977,4215772400,621924.1,0.00014752317,0.14752316999999998,,1.4942,,,,416215000,0.09872805,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1978,4289657600,661251.8,0.00015415026,0.15415026,,1.4983,,,,441339000,0.102884434,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1979,4365583000,714188.44,0.0001635952,0.1635952,,1.4898,,,,479383000,0.10980962,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1980,4444008000,713113.06,0.0001604662,0.1604662,,1.4879999,,,,479245000,0.10784072,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1981,4524627500,750035.25,0.0001657673,0.1657673,,1.4914,,,,502921000,0.11115191,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1982,4607984600,786844,0.00017075664,0.17075664000000002,,1.5019,,,,523895000,0.11369287,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1983,4691884000,823461.94,0.00017550774,0.17550774000000002,,1.5094,,,,545569000,0.116279304,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1984,4775836000,842435.2,0.00017639533,0.17639533,,1.5033,,,,560407000,0.117342174,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1985,4861731000,877299.5,0.00018045004,0.18045004,,1.5045999,,,,583083000,0.11993321,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1986,4950063000,960755.9,0.00019408962,0.19408962000000002,,1.5259999,,,,629610000,0.12719232,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1987,5040984600,1055324.5,0.00020934889,0.20934889,,1.5356,,,,687256000,0.13633369,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1988,5132294000,1117158.1,0.00021767228,0.21767228,,1.5282999,,,,730986000,0.1424287,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1989,5223704000,1160024.4,0.00022206931,0.22206931000000002,,1.5473,,,,749728000,0.14352421,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1990,5316176000,1239382.9,0.00023313428,0.23313428,,1.5260999,,,,812102000,0.15276057,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1991,5406246000,1365622.1,0.00025260082,0.25260082,,1.4914,,,,915683000,0.16937502,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1992,5492686300,1553154.5,0.00028276775,0.28276775,,1.5394,,,,1008954000,0.18369044,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1993,5577433600,1784314.9,0.00031991684,0.31991684000000004,,1.5160999,,,,1176920000,0.21101461,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1994,5660728000,1931524.4,0.00034121485,0.34121485,,1.508,,,,1280889000,0.22627638,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1995,5743219700,2139481.8,0.00037252306,0.37252306,,1.4894999,,,,1436390000,0.25010186,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1996,5825145300,2201543,0.00037793786,0.37793786,,1.4717,,,,1495936000,0.25680664,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1997,5906481000,2412255.2,0.00040840817,0.40840817,,1.4979,,,,1610439000,0.27265626,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1998,5987312600,2585527.2,0.00043183434,0.43183434000000004,,1.4909999,,,,1734038000,0.28961876,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1999,6067758600,2881055.2,0.00047481374,0.47481374,,1.4129,,,,2039165000,0.33606562,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2000,6148899000,2873991.2,0.00046739934,0.46739934,,1.4688,,,,1956695000,0.31821877,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2001,6230747000,2984087.2,0.0004789293,0.4789293,,1.4772999,,,,2020026000,0.32420287,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2002,6312407600,2937650.5,0.0004653772,0.4653772,,1.4789,,,,1986356000,0.31467485,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2003,6393898500,3028382,0.00047363623,0.47363623,,1.4674,,,,2063784000,0.32277396,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2004,6475751400,3076471.2,0.00047507556,0.47507556,,1.4678,,,,2096042000,0.32367548,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2005,6558176000,3334886.8,0.00050850824,0.50850824,,1.4632,,,,2279146000,0.3475274,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2006,6641416000,3391083.8,0.0005105965,0.5105965,,1.4984,,,,2263078000,0.34075233,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2007,6725948400,3615069.5,0.000537481,0.537481,,1.4896,,,,2426883000,0.3608239,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2008,6811597300,3799058,0.0005577338,0.5577338,,1.4821,,,,2563351000,0.37632158,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2009,6898306000,3911881.5,0.0005670786,0.5670786,,1.5127,,,,2586034000,0.37487957,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2010,6985603000,4049831,0.00057973963,0.57973963,,1.5149,,,,2673345000,0.38269353,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2011,7073125400,4194617,0.0005930359,0.5930359,,1.5127,,,,2772860000,0.39202756,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2012,7161698000,4361049.5,0.0006089407,0.6089407,,1.5088999,,,,2890261000,0.40357205,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2013,7250593300,4349353.5,0.0005998617,0.5998616999999999,,1.5153999,,,,2870054000,0.39583713,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2014,7339013600,4331067,0.0005901429,0.5901429,,1.5425999,,,,2807710000,0.38257322,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2015,7426597400,4440111,0.00059786614,0.59786614,,1.5174999,,,,2925870000,0.3939718,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2016,7513474000,4473019.5,0.00059533305,0.59533305,,1.4964,,,,2989123000,0.39783502,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2017,7599822300,4430711.5,0.000583002,0.583002,,1.4353,,,,3086986000,0.40619186,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2018,7683790000,4650703,0.0006052616,0.6052616000000001,,1.4714999,,,,3160476000,0.41131735,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2019,7764951000,6011389.5,0.00077416963,0.7741696299999999,,1.9124,,,,3143331000,0.40481016,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2020,7840953000,6156118.5,0.0007851238,0.7851238,,1.9541999,,,,3150241000,0.4017676,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2021,7909295000,6209141,0.0007850435,0.7850435,,1.9550999,,,,3175895000,0.40153956,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,2022,7975105000,6068757,0.00076096266,0.76096266,,1.9022,,,,3190336000,0.40003687,,,,,,,,,,,,,,,,,,,,,,,,,,
