Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,15108900,0.004924079,4.924079,,7.7511997,,,,,,588000,0.00019163264,0.19163264,616000,0.00020075802,0.20075801999999998,15029000,0.004898039,4.898039,13870000,0.0045203143,4.5203143,3000,9.777176e-7,0.0009777176000000001,34000,0.0000110808,0.0110808,491000,0.00016001977,0.16001977,4.5194354,12.3820146707004,17.879084,1.3707298,1.2316703
,World,1962,3126686700,15473587,0.004948877,4.9488769999999995,,7.7183,,,,,,539000,0.00017238695,0.17238695,541000,0.00017302661,0.17302661,15401000,0.0049256613,4.9256613,14209000,0.004544427,4.544427,3000,9.594821e-7,0.0009594820999999999,35000,0.000011193958,0.011193958,503000,0.00016087317,0.16087316999999998,4.5484276,12.4614453548376,17.875916,1.380418,1.2413831
,World,1963,3195779300,15669435,0.0049031656,4.9031656,,7.8227,,,,,,458000,0.00014331403,0.14331403,475000,0.00014863354,0.14863354,15598000,0.0048808125,4.880812499999999,14365000,0.004494991,4.494991000000001,3000,9.3873814e-7,0.0009387381399999999,34000,0.000010639033,0.010639032999999999,508000,0.00015895966,0.15895966,4.495338,12.315994397388002,17.822926,1.3664243,1.2278016
,World,1964,3267212300,16350183,0.005004322,5.004322,,7.9764,,,,,,413000,0.00012640745,0.12640745,427000,0.00013069245,0.13069245000000002,16267000,0.004978862,4.9788619999999995,14983000,0.004585867,4.585867,3000,9.1821397e-7,0.00091821397,36000,0.000011018567,0.011018567,528000,0.00016160565,0.16160565,4.581426,12.551851929276001,17.772774,1.3922006,1.2440941
,World,1965,3337112000,16851302,0.0050496664,5.0496663999999996,,7.9508996,,,,,,425000,0.00012735563,0.12735563,437000,0.00013095155,0.13095155,16761000,0.0050226063,5.0226063000000005,15396000,0.00461357,4.61357,4000,0.0000011986411,0.0011986411,38000,0.000011387091,0.011387091,550000,0.00016481316,0.16481316,4.6144447,12.6423141201522,17.747866,1.4001093,1.2522105
,World,1966,3406417000,17302496,0.005079383,5.079383,,7.8564,,,,,,396000,0.00011625118,0.11625118,466000,0.00013680063,0.13680063,17207000,0.005051349,5.051349,15778000,0.0046318467,4.6318467,2000,5.871272e-7,0.0005871272000000001,39000,0.00001144898,0.011448980000000001,571000,0.00016762482,0.16762482,4.632735,12.692424530610001,17.74239,1.4095342,1.261681
,World,1967,3475448000,18121612,0.00521418,5.21418,,7.9034996,,,,,,398000,0.00011451761,0.11451761,459000,0.0001320693,0.1320693,17982000,0.005174009,5.174009,16490000,0.004744712,4.744712,3000,8.6319807e-7,0.0008631980700000001,41000,0.00001179704,0.01179704,607000,0.00017465375,0.17465375,4.7437644,12.9966146645544,18.738363,1.4398953,1.2919607
,World,1968,3546811000,18615274,0.005248454,5.248454,,7.9021997,,,,,,430000,0.00012123567,0.12123567,489000,0.00013787033,0.13787032999999999,18504000,0.005217081,5.217081,16956000,0.004780633,4.780633,3000,8.4583024e-7,0.00084583024,43000,0.000012123567,0.012123567,626000,0.00017649659,0.17649659,4.7844257,13.1080154853582,18.74311,1.4599897,1.302153
,World,1969,3620655400,19415212,0.0053623472,5.3623472,,7.9659996,,,,,,450000,0.00012428689,0.12428689,491000,0.00013561081,0.13561081,19322000,0.005336603,5.336602999999999,17693000,0.0048866845,4.8866845,3000,8.285793e-7,0.0008285793,44000,0.000012152496,0.012152496,653000,0.0001803541,0.18035410000000002,4.883729,13.380079318254,18.745628,1.4897841,1.3319262
,World,1970,3695390200,20351600,0.005507294,5.507294,,8.036799,,,,,,500000,0.00013530371,0.13530371000000002,521000,0.00014098646,0.14098646,20253000,0.005480612,5.480612,18555000,0.0050211204,5.0211204,5000,0.0000013530371,0.0013530371,47000,0.0000127185485,0.0127185485,664000,0.00017968332,0.17968332,5.022142,13.759293013092,19.733366,1.5293359,1.3616023
,World,1971,3770163200,21056096,0.0055849296,5.5849296,,8.0381,,,,,,523000,0.00013872079,0.13872078999999998,534000,0.00014163843,0.14163842999999998,20966000,0.0055610323,5.5610323,19188000,0.005089435,5.089435,6000,0.000001591443,0.0015914430000000001,49000,0.000012996785,0.012996785,713000,0.00018911649,0.18911649,5.0921717,13.9511552029542,19.737099,1.5493623,1.3815969
,World,1972,3844800800,21709170,0.005646371,5.646371,,8.205299,,,,,,515000,0.00013394712,0.13394712,534000,0.00013888886,0.13888886,21621000,0.0056234384,5.6234383999999995,19768000,0.0051414887,5.1414887,6000,0.000001560549,0.001560549,52000,0.000013524758,0.013524758,743000,0.00019324798,0.19324798,5.143355,14.091383420729999,19.744165,1.5696611,1.4018357
,World,1973,3920251400,21945158,0.0055978955,5.5978955,,8.0105,,,,,,560000,0.00014284799,0.14284799,581000,0.00014820478,0.14820478,21873000,0.0055794893,5.5794893,19940000,0.0050864085,5.0864085,8000,0.0000020406856,0.0020406856,54000,0.0000137746265,0.0137746265,774000,0.00019743631,0.19743631,5.0849915,13.931483422329,19.747538,1.5501819,1.3823277
,World,1974,3995517000,22519456,0.0056361808,5.6361808,,8.059299,,,,,,599000,0.00014991802,0.14991801999999999,614000,0.00015367223,0.15367223,22392000,0.005604281,5.604281,20428000,0.00511273,5.11273,4000,0.000001001122,0.001001122,55000,0.000013765428,0.013765428,781000,0.00019546908,0.19546908,5.1152573,14.0144034214998,19.750029,1.5602523,1.392377
,World,1975,4069437200,23227446,0.0057077785,5.7077785,,8.1708,,,,,,624000,0.00015333816,0.15333816,636000,0.00015628697,0.15628697,23142000,0.0056867814,5.6867814,21099000,0.0051847463,5.1847463000000005,6000,0.0000014744054,0.0014744054,61000,0.000014989788,0.014989788,818000,0.0002010106,0.20101059999999998,5.185939,14.208051912714001,19.755957,1.5804765,1.4125508
,World,1976,4142505700,23636098,0.005705749,5.705749000000001,,8.1193,,,,,,624000,0.00015063347,0.15063347,631000,0.00015232326,0.15232326,23527000,0.0056794127,5.679412699999999,21377000,0.0051604034,5.1604034,10000,0.000002413998,0.002413998,66000,0.000015932386,0.015932386,836000,0.00020181022,0.20181022,5.1578035,14.130968351841,19.7617,1.5710552,1.4030807
,World,1977,4215772400,24740182,0.0058684815,5.8684815,,8.3206,,,,,,706000,0.00016746635,0.16746634999999999,698000,0.00016556871,0.16556871,24617000,0.005839262,5.839262,22319000,0.005294166,5.294166000000001,9000,0.00000213484,0.0021348400000000003,72000,0.00001707872,0.017078720000000002,886000,0.00021016315,0.21016315,5.296561,14.511125882285999,20.75145,1.6107078,1.4427199
,World,1978,4289657600,25809194,0.0060166093,6.0166093,,8.848599,,,,,,745000,0.00017367353,0.17367353,739000,0.00017227483,0.17227483,25690000,0.005988823,5.988823,23269000,0.0054244422,5.4244422,7000,0.0000016318319,0.0016318319000000001,75000,0.000017483913,0.017483913,920000,0.00021446933,0.21446932999999999,5.4247146,14.8622316321996,20.750275,1.6501409,1.4722815
,World,1979,4365583000,26558758,0.006083668,6.083668,,8.9038,,,,,,785000,0.00017981563,0.17981563,790000,0.00018096094,0.18096094,26406000,0.006048677,6.048677,23859000,0.0054652495,5.4652495,7000,0.0000016034514,0.0016034514,76000,0.000017408902,0.017408902,952000,0.0002180694,0.2180694,5.4626923,14.9662801243098,20.7444,1.659552,1.4817429
,World,1980,4444008000,27403652,0.0061664274,6.1664274,,9.1216,,,,,,860000,0.00019351901,0.19351901,893000,0.00020094473,0.20094473000000002,27212000,0.0061233016,6.1233016,24540000,0.0055220425,5.5220425,10000,0.000002250221,0.002250221,81000,0.00001822679,0.01822679,1007000,0.00022659726,0.22659726,5.51954,15.12202724604,21.722696,1.678572,1.5008408
,World,1981,4524627500,28014706,0.0061916052,6.191605200000001,,9.346399,,,,,,899000,0.0001986904,0.19869040000000002,986000,0.0002179185,0.21791850000000001,27756000,0.0061344276,6.1344275999999995,25001000,0.0055255378,5.5255377999999995,6000,0.000001326076,0.001326076,81000,0.000017902026,0.017902026,1029000,0.00022742203,0.22742203,5.5266185,15.141420396531,21.711716,1.6777235,1.5000821
,World,1982,4607984600,28760874,0.0062415297,6.2415297,,9.4264,,,,,,938000,0.00020355971,0.20355971,979000,0.00021245731,0.21245731,28542000,0.006194031,6.194031,25703000,0.0055779265,5.5779265,5000,0.0000010850731,0.0010850731,86000,0.000018663257,0.018663257,1070000,0.00023220564,0.23220564,5.581784,15.292558751184,21.69598,1.6962312,1.5088568
,World,1983,4691884000,29306910,0.006246299,6.2462990000000005,,9.4341,,,,,,924000,0.00019693581,0.19693581000000002,916000,0.00019523074,0.19523074,29151000,0.006213069,6.213069,26232000,0.005590931,5.590931,8000,0.000001705072,0.001705072,90000,0.00001918206,0.01918206,1109000,0.00023636561,0.23636561,5.5894246,15.313491901659601,21.687363,1.7054152,1.5181153
,World,1984,4775836000,30774284,0.006443748,6.443748,,9.5865,,,,,,957000,0.00020038376,0.20038376,974000,0.00020394335,0.20394335,30583000,0.0064036953,6.4036953,27521000,0.005762551,5.762551,5000,0.0000010469371,0.0010469371,112000,0.00002345139,0.02345139,1175000,0.00024603022,0.24603022,5.7673283,15.8008992940458,22.674967,1.7548451,1.5675303
,World,1985,4861731000,32495158,0.006683866,6.683866,,9.7569,,,,,,895000,0.00018409082,0.18409082000000002,899000,0.00018491357,0.18491357,32340000,0.006651952,6.651952,29137000,0.005993133,5.993133,6000,0.0000012341284,0.0012341284,136000,0.000027973576,0.027973576,1213000,0.00024949963,0.24949963,5.9950624,16.4248283289024,23.66472,1.8241556,1.6269495
