Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,199836110,0.06512776,65.12776000000001,7.3445997,,27208652,0.008867459,88.67459,,,15579000,0.0050772876,5.0772876,15557000,0.0050701173,5.070117300000001,168505000,0.05491677,54.91677,115038000,0.03749156,37.49156,1817000,0.000592171,0.592171,191000,0.00006224802,0.06224802000000001,15459000,0.0050381785,5.0381785,37.496414,102.72990034256401,50.657406,0.5761038,0.2880519
,World,1962,3126686700,216842500,0.069352165,69.352165,7.8099,,27764990,0.008880003,88.80002999999999,,,16688000,0.0053372793,5.3372793,16663000,0.0053292834,5.3292834,183760000,0.05877148,58.771480000000004,120409000,0.038510095,38.510095,1816000,0.0005808065,0.5808065,173000,0.000055330136,0.055330136,16181000,0.0051751267,5.1751267,38.51267,105.51416332842,51.641537,0.5859328,0.29793194
,World,1963,3195779300,213979660,0.06695696,66.95696,7.6029,,28144428,0.008806749,88.06748999999999,,,16701000,0.0052259555,5.2259554999999995,16826000,0.005265069,5.2650689999999996,182730000,0.057178542,57.178542,122743000,0.038407847,38.407847000000004,1981000,0.0006198801,0.6198800999999999,172000,0.000053820986,0.053820986,16453000,0.005148353,5.148352999999999,38.408405,105.22850579703001,52.478615,0.58419585,0.29704878
,World,1964,3267212300,224683150,0.06876907,68.76907,7.8273997,,28704824,0.008785724,87.85724,,,18047000,0.005523669,5.523669,17977000,0.0055022445,5.5022445,192956000,0.059058297,59.058297,127557000,0.03904154,39.04154,2099000,0.0006424437,0.6424437000000001,225000,0.00006886605,0.06886605,17902000,0.0054792888,5.4792888,39.04086,106.96125920436,53.31832,0.6022996,0.30608666
,World,1965,3337112000,229597360,0.06880122,68.80122,7.9631996,,28832124,0.008639843,86.39842999999999,,,19356000,0.005800225,5.800225,19419000,0.005819103,5.819103,197777000,0.059265915,59.265915,133119000,0.03989048,39.89048,1790000,0.0005363919,0.5363918999999999,214000,0.00006412731,0.06412730999999999,17993000,0.0053917877,5.3917877,39.893257,109.296593427582,54.229588,0.61131537,0.30565768
,World,1966,3406417000,235584910,0.06915916,69.15916,8.1762,,28813396,0.008458564,84.58564,,,20098000,0.005900041,5.900041,20019000,0.00587685,5.87685,202852000,0.05954996,59.54996,139304000,0.040894583,40.894583,1944000,0.00057068764,0.57068764,216000,0.00006340974,0.06340974,18306000,0.0053739753,5.3739753,40.89621,112.04440983846001,55.198544,0.6209836,0.30556336
,World,1967,3475448000,247168770,0.07111853,71.11852999999999,8.3925,,29451204,0.008474074,84.74074,,,20676000,0.005949161,5.949160999999999,20604000,0.005928444,5.928444,212880000,0.061252534,61.252534,146526000,0.04216032,42.16032,2174000,0.00062553084,0.62553084,176000,0.000050640952,0.050640952,18777000,0.0054027564,5.4027564,42.161316,115.510453639416,56.215088,0.6311869,0.31559345
,World,1968,3546811000,253749890,0.07154311,71.54311,8.4737,,29945500,0.008442936,84.42936,,,21699000,0.00611789,6.11789,21537000,0.0060722153,6.0722153,219763000,0.06196073,61.96073,150436000,0.04241444,42.41444,2441000,0.00068822387,0.68822387,195000,0.00005497897,0.05497897,20404000,0.0057527735,5.7527735,42.418617,116.215387878942,56.229332,0.6412116,0.31567344
,World,1969,3620655400,258905260,0.07150785,71.50785,8.654699,,29914826,0.008262268,82.62268,,,22769000,0.0062886407,6.288640699999999,22563000,0.006231745,6.231745,224212000,0.061925806,61.925806,154955000,0.042797502,42.797502,2597000,0.00071727345,0.71727345,217000,0.0000599339,0.0599339,21084000,0.005823255,5.8232550000000005,42.79923,117.25816321098002,57.223495,0.64129776,0.31571582
,World,1970,3695390200,266237780,0.072045915,72.04591500000001,8.540299,,31174304,0.008435998,84.35998000000001,,,23930000,0.0064756353,6.4756353,23692000,0.006411231,6.411231,234600000,0.0634845,63.4845,159479000,0.0431562,43.1562,3224000,0.0008724383,0.8724383,219000,0.000059263024,0.059263024,22565000,0.0061062565,6.1062565,43.156876,118.238015255976,57.226765,0.6512011,0.31573385
