Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,4929186,0.0016064506,1.6064505999999998,,14.900001,,,,330835550,0.10782125,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1962,3126686700,5038528.5,0.0016114593,1.6114593000000001,,14.8,,,,341462940,0.109209195,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1963,3195779300,5036953.5,0.0015761268,1.5761268,,14.6,,,,344282140,0.10773026,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1964,3267212300,5015266.5,0.0015350293,1.5350293,,14.5,,,,345818500,0.10584512,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1965,3337112000,5038355,0.001509795,1.509795,,14.7,,,,341928740,0.10246247,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1966,3406417000,5109101,0.0014998461,1.4998461,,14.5,,,,353080770,0.10365166,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1967,3475448000,5269981.5,0.0015163459,1.5163459,,14.900001,,,,354307460,0.10194583,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1968,3546811000,5427148.5,0.0015301488,1.5301487999999999,,15,,,,361897540,0.10203463,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1969,3620655400,5373921,0.0014842398,1.4842398,,15,,,,359107330,0.09918296,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1970,3695390200,5535285.5,0.0014978893,1.4978893,,15.1,,,,367447300,0.099433966,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1971,3770163200,5633022,0.0014941056,1.4941056,,15.1,,,,372085120,0.098692045,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1972,3844800800,5659330,0.0014719437,1.4719437000000002,,15.2,,,,372132770,0.09678857,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1973,3920251400,5400269,0.0013775313,1.3775313,,14.900001,,,,361449440,0.09220058,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1974,3995517000,5142384.5,0.0012870386,1.2870386,,14.8,,,,347677470,0.087016895,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1975,4069437200,5306094,0.0013038889,1.3038889,,14.6,,,,363304640,0.08927639,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1976,4142505700,5312879,0.0012825278,1.2825278,,14.900001,,,,356796670,0.08613064,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1977,4215772400,5334501.5,0.0012653675,1.2653675,,14.900001,,,,359198720,0.085203536,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1978,4289657600,5413454.5,0.0012619782,1.2619782,,14.8,,,,366222270,0.08537331,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1979,4365583000,5383152,0.0012330889,1.2330888999999998,,14.900001,,,,362036480,0.0829297,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1980,4444008000,5644365.5,0.001270107,1.2701069999999999,,14.7,,,,384107420,0.08643266,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1981,4524627500,5864335,0.0012960923,1.2960923000000002,,14.6,,,,401801400,0.0888032,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1982,4607984600,5885940,0.001277335,1.277335,,14.6,,,,403676580,0.08760372,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1983,4691884000,6082023,0.0012962859,1.2962859,,14.7,,,,414621950,0.08837003,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1984,4775836000,6106249,0.0012785717,1.2785717,,14.7,,,,414958200,0.086887024,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1985,4861731000,6224355,0.0012802755,1.2802755,,14.7,,,,423667680,0.087143384,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1986,4950063000,6227011,0.001257966,1.257966,,14.8,,,,421003780,0.08505018,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1987,5040984600,6356766,0.0012610167,1.2610167,,14.7,,,,431554700,0.085609205,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1988,5132294000,6657764,0.0012972297,1.2972297,,15.1,,,,441209800,0.08596736,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1989,5223704000,6843929,0.0013101678,1.3101677999999999,,15,,,,456671520,0.08742293,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1990,5316176000,7043065.5,0.0013248369,1.3248369,,15.1,,,,464990300,0.08746707,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1991,5406246000,6936762,0.0012831015,1.2831015,,15.2,,,,455745300,0.08429977,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,1992,5492686300,6931468,0.001261945,1.261945,,15.3,,,,452468000,0.08237645,,,,,,,,,,,,,,,,,,,,,,,,,,
