Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,205027230,0.06681958,66.81958,1.9423,,105559544,0.034402475,344.02475000000004,,,14437000,0.004705103,4.705103,14676000,0.0047829943,4.7829943,207021000,0.06746936,67.46936000000001,33861000,0.011035498,11.035497999999999,147247000,0.04798866,47.98866,6001000,0.001955761,1.9557609999999999,8085000,0.0026349488,2.6349488,11.035368,30.233884629168003,92.424934,2.2746167,0.8244244
,World,1962,3126686700,204876640,0.06552516,65.52516,1.9796,,103496470,0.033101004,331.01004000000006,,,19868000,0.00635433,6.35433,20744000,0.006634499,6.634499,207804000,0.06646141,66.46141,34881000,0.011155899,11.155899,146365000,0.046811532,46.811532,6309000,0.002017791,2.0177910000000003,8010000,0.0025618172,2.5618172,11.152585,30.555027091710002,93.34207,2.2940757,0.8342094
,World,1963,3195779300,220228110,0.06891218,68.91218,2.0311,,108427420,0.03392832,339.28319999999997,,,20741000,0.0064901225,6.4901225,21825000,0.00682932,6.82932,214692000,0.06717986,67.17985999999999,35543000,0.011121857,11.121857,151086000,0.04727673,47.27673,7241000,0.002265801,2.265801,8513000,0.0026638259,2.6638259,11.119525,30.46445175015,92.91685,2.2872753,0.8317365
,World,1964,3267212300,215172380,0.065858096,65.858096,1.9936999,,107925070,0.03303277,330.32770000000005,,,22628000,0.006925782,6.925782,23420000,0.0071681906,7.1681906,219682000,0.06723836,67.23836,36733000,0.011242918,11.242918,153041000,0.04684146,46.84146,7692000,0.0023543006,2.3543005999999997,9927000,0.00303837,3.03837,11.246217,30.811553116542,94.03772,2.3203342,0.8491436
,World,1965,3337112000,226544130,0.06788628,67.88628,2.1237,,106676500,0.031966712,319.66712,,,24444000,0.0073248963,7.3248963,25806000,0.0077330335,7.7330335,234239000,0.07019213,70.19213,38672000,0.011588464,11.588464,166741000,0.049965657,49.96565699999999,7061000,0.0021159013,2.1159013,8347000,0.0025012644,2.5012644,11.585412,31.740854477112002,96.79488,2.386102,0.8676734
,World,1966,3406417000,245599100,0.072098956,72.098956,2.2078,,111240990,0.032656305,326.56305,,,26688000,0.007834625,7.834625,26727000,0.007846074,7.846074,243055000,0.0713521,71.35210000000001,39411000,0.011569635,11.569635,174268000,0.05115874,51.15874,6867000,0.0020159013,2.0159013000000003,8941000,0.0026247522,2.6247521999999996,11.57198,31.70405447748,96.26232,2.3557951,0.85754883
,World,1967,3475448000,272548400,0.078421086,78.421086,2.4236,,112457700,0.032357756,323.57756,,,28066000,0.0080755055,8.0755055,28610000,0.008232032,8.232032,256466000,0.07379365,73.79365,41881000,0.012050533,12.050533,184307000,0.053031147,53.031147000000004,7167000,0.00206218,2.0621799999999997,9509000,0.0027360502,2.7360501999999998,12.051726,33.018427067076004,100.26996,2.4557116,0.9073312
,World,1968,3546811000,255670480,0.07208461,72.08461,2.2893999,,111677784,0.031486817,314.86817,,,29025000,0.008183408,8.183408,30018000,0.008463378,8.463378,258891000,0.072992615,72.992615,41267000,0.011634959,11.634959,187354000,0.052823227,52.823227,6646000,0.001873796,1.873796,9529000,0.0026866389,2.6866389,11.630593,31.864638037518,96.813095,2.3675508,0.87796676
,World,1969,3620655400,269506000,0.07443569,74.43569,2.4206,,111338020,0.03075079,307.5079,,,27679000,0.007644749,7.644749,28550000,0.007885313,7.885313,267133000,0.07378029,73.78029,42746000,0.01180615,11.806149999999999,193295000,0.053386744,53.386744,7841000,0.00216563,2.16563,9848000,0.0027199495,2.7199495,11.809746,32.355468169596,98.266556,2.3974671,0.8879508
,World,1970,3695390200,265831070,0.07193586,71.93586,2.3509,,113076120,0.030599236,305.99235999999996,,,29605000,0.008011333,8.011333,30565000,0.008271116,8.271116000000001,275062000,0.07443382,74.43382,44306000,0.011989532,11.989532,196627000,0.053208724,53.208724,7836000,0.0021204797,2.1204797,11581000,0.0031339044,3.1339044,11.98802,32.843890082520005,99.4759,2.4272041,0.9077349
,World,1971,3770163200,313622530,0.0831854,83.1854,2.6534,,118195096,0.03135013,313.50129999999996,,,31251000,0.008289031,8.289031000000001,31803000,0.008435444,8.435444,288900000,0.076627985,76.627985,42369000,0.011237975,11.237975,211647000,0.056137357,56.137357,8277000,0.0021953958,2.1953958,11217000,0.0029752029,2.9752029,11.240278,30.795281883828,93.356476,2.2697663,0.82895815
,World,1972,3844800800,308826200,0.08032307,80.32307,2.6866999,,114947784,0.029896941,298.96941,,,38058000,0.009898562,9.898562,38427000,0.009994536,9.994536,307870000,0.08007437,80.07437,43850000,0.011405013,11.405013,227191000,0.059090447,59.090447,8432000,0.0021930914,2.1930914,12056000,0.0031356632,3.1356631999999998,11.402255,31.23905448213,94.495575,2.3001952,0.85887116
