Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,8948943,0.002916513,2.916513,,1.2759,,,,7013823000,2.285846,306000,0.00009972719,0.09972719000000001,303000,0.00009874948,0.09874948,8822000,0.0028751416,2.8751416,8768000,0.0028575426,2.8575426,0,0,0,31000,0.000010103082,0.010103082000000001,8000,0.0000026072469,0.0026072469,2.8606536,7.837407044913601,11.1247635,1.0429466,0.73502904
,World,1962,3126686700,9205056,0.002944029,2.944029,,1.2630999,,,,7287624000,2.3307817,341000,0.00010906113,0.10906113,326000,0.00010426372,0.10426372,9203000,0.0029433714,2.9433713999999997,9147000,0.002925461,2.925461,0,0,0,32000,0.000010234476,0.010234476,8000,0.000002558619,0.002558619,2.9296641,8.026476906036601,11.371069,1.0725551,0.7547609
,World,1963,3195779300,9748723,0.0030504994,3.0504994,,1.2702999,,,,7674468000,2.4014387,298000,0.00009324799,0.09324799,309000,0.00009669003,0.09669003,9658000,0.003022111,3.022111,9600000,0.003003962,3.003962,0,0,0,35000,0.000010951945,0.010951945000000001,9000,0.0000028162144,0.0028162144,3.0001924,8.2197051232824,11.664115,1.0990804,0.77232677
,World,1964,3267212300,10140743,0.0031037906,3.1037906,,1.2724999,,,,7969333000,2.4391844,342000,0.000104676394,0.10467639399999999,348000,0.00010651282,0.10651282000000001,10068000,0.0030815261,3.0815261,10005000,0.0030622436,3.0622436,0,0,0,38000,0.00001163071,0.011630709999999999,11000,0.0000033667845,0.0033667845,3.0608664,8.3859352586064,11.888011,1.1157352,0.7899011
,World,1965,3337112000,10961260,0.0032846543,3.2846542999999997,,1.2713,,,,8621887000,2.5836372,370000,0.00011087431,0.11087431,375000,0.00011237261,0.11237261,10903000,0.0032671962,3.2671962,10834000,0.0032465197,3.2465197,0,0,0,40000,0.000011986412,0.011986412,11000,0.0000032962632,0.0032962632,3.2439153,8.887439089207799,12.620705,1.1831911,0.83809364
,World,1966,3406417000,11681973,0.0034294021,3.4294021,,1.3262,,,,8808885000,2.585968,361000,0.00010597646,0.10597646,373000,0.00010949922,0.10949922000000001,11541000,0.0033880174,3.3880174,11467000,0.0033662939,3.3662939,0,0,0,43000,0.000012623234,0.012623233999999999,13000,0.0000038163266,0.0038163266000000003,3.371054,9.235764291204001,13.080084,1.2321104,0.8674057
,World,1967,3475448000,12383401,0.0035631093,3.5631093000000003,,1.2745999,,,,9715610000,2.7954986,385000,0.00011077708,0.11077708,391000,0.000112503476,0.112503476,12246000,0.0035235744,3.5235743999999998,12162000,0.003499405,3.4994050000000003,0,0,0,48000,0.000013811169,0.013811169,16000,0.000004603723,0.004603723,3.501115,9.59209579449,13.580382,1.2820984,0.897469
,World,1968,3546811000,12782246,0.0036038703,3.6038703,,1.2739999,,,,10032939000,2.828721,411000,0.00011587875,0.11587875,438000,0.00012349122,0.12349122,12734000,0.0035902676,3.5902676000000002,12650000,0.0035665843,3.5665842999999997,0,0,0,49000,0.000013815228,0.013815227999999999,16000,0.0000045110946,0.0045110945999999996,3.5710557,9.7837141487382,13.850172,1.302153,0.91742593
,World,1969,3620655400,13731771,0.0037926203,3.7926203000000003,,1.2797999,,,,10729381000,2.9633808,417000,0.00011517252,0.11517252,442000,0.00012207734,0.12207734,13670000,0.0037755596,3.7755596000000002,13576000,0.0037495974,3.7495974,0,0,0,58000,0.0000160192,0.0160192,16000,0.0000044190897,0.0044190897,3.7491255,10.271576609613,14.503196,1.3713907,0.95701367
,World,1970,3695390200,15095038,0.0040848292,4.0848292,,1.2954999,,,,11651635000,3.153019,487000,0.00013178581,0.13178581,518000,0.00014017464,0.14017464000000002,14910000,0.0040347567,4.0347567,14802000,0.004005531,4.0055309999999995,0,0,0,66000,0.00001786009,0.017860090000000002,19000,0.000005141541,0.005141541,4.005873,10.974994410798,15.480825,1.4602692,1.0261351
,World,1971,3770163200,15731209,0.004172554,4.172554,,1.3058,,,,12047333000,3.1954408,552000,0.00014641276,0.14641276,593000,0.00015728762,0.15728762000000002,15593000,0.004135895,4.135895,15476000,0.004104862,4.104862,0,0,0,73000,0.000019362556,0.019362556,21000,0.0000055700507,0.0055700507,4.1053166,11.247442627251601,15.858759,1.5000196,1.0460662
,World,1972,3844800800,16832120,0.0043778913,4.3778913,,1.3105,,,,12844128000,3.3406484,570000,0.00014825216,0.14825216,605000,0.00015735536,0.15735536,16703000,0.0043443083,4.344308300000001,16572000,0.0043102363,4.3102363,0,0,0,83000,0.000021587595,0.021587595,24000,0.000006242196,0.006242196,4.3141,11.8194519366,16.575228,1.5795332,1.0958011
,World,1973,3920251400,17621042,0.0044948757,4.494875700000001,,1.3133999,,,,13416847000,3.4224455,574000,0.00014641919,0.14641919,630000,0.00016070397,0.16070397,17381000,0.0044336445,4.4336445,17247000,0.0043994626,4.3994626,0,0,0,83000,0.00002117211,0.02117211,26000,0.0000066322277,0.0066322277,4.4037013,12.0649349478438,16.89402,1.6094244,1.1058621
,World,1974,3995517000,18296532,0.004579265,4.5792649999999995,,1.3138,,,,13926167000,3.4854481,627000,0.00015692587,0.15692587,681000,0.00017044102,0.17044102,18091000,0.0045278245,4.5278245,17950000,0.0044925353,4.4925353,0,0,0,90000,0.000022525246,0.022525246000000002,27000,0.000006757574,0.006757574,4.4931316,12.3099494659416,17.25165,1.6491274,1.1356267
,World,1975,4069437200,18673616,0.0045887465,4.5887465,,1.3239,,,,14104498000,3.4659579,691000,0.00016980236,0.16980236,731000,0.00017963172,0.17963172,18551000,0.004558616,4.558616,18400000,0.0045215096,4.5215096,0,0,0,99000,0.000024327688,0.024327688,27000,0.0000066348243,0.0066348243,4.524114,12.394832752764,17.316097,1.6595004,1.1359675
,World,1976,4142505700,20025206,0.0048340806,4.8340806,,1.3307999,,,,15047708000,3.6325135,737000,0.00017791164,0.17791163999999998,863000,0.00020832801,0.20832800999999998,19690000,0.0047531617,4.753161700000001,19521000,0.004712365,4.712364999999999,0,0,0,111000,0.000026795376,0.026795376,29000,0.000007000594,0.007000594,4.7131653,12.9127815147078,18.012789,1.7291487,1.1758212
,World,1977,4215772400,21229542,0.0050357417,5.0357417,,1.3281,,,,15984406000,3.7915723,918000,0.0002177537,0.2177537,1021000,0.00024218575,0.24218575,20969000,0.00497394,4.97394,20791000,0.0049317176,4.9317176,0,0,0,116000,0.000027515716,0.027515716,32000,0.0000075905427,0.0075905427,4.9309397,13.5094237005222,18.804768,1.8083407,1.2253237
,World,1978,4289657600,22703596,0.005292636,5.292636,,1.332,,,,17044304000,3.9733484,992000,0.00023125389,0.23125389,1029000,0.00023987929,0.23987929,22485000,0.005241677,5.241677,22288000,0.0051957527,5.1957527,0,0,0,128000,0.000029839211,0.029839211,36000,0.000008392278,0.008392278000000001,5.19745,14.239588898700001,19.801693,1.897168,1.2944219
,World,1979,4365583000,24556620,0.0056250496,5.6250496000000005,,1.3381,,,,18352165000,4.2038293,1221000,0.00027968775,0.27968775,1228000,0.0002812912,0.28129119999999996,24290000,0.0055639762,5.5639762,24055000,0.0055101463,5.5101463,0,0,0,165000,0.000037795642,0.037795642000000004,37000,0.0000084753865,0.0084753865,5.5120835,15.101598479121002,21.020992,2.005292,1.38296
,World,1980,4444008000,25946012,0.0058384263,5.8384263,,1.3431,,,,19317969000,4.3469696,1399000,0.00031480592,0.31480591999999996,1519000,0.00034180857,0.34180857,25598000,0.0057601156,5.7601156,25296000,0.005692159,5.692158999999999,0,0,0,199000,0.000044779397,0.044779397,71000,0.00001597657,0.01597657,5.687397,15.581909433222,21.663454,2.07353,1.4218493
