Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,215646620,0.0702805,70.28049999999999,1.8693,,115365130,0.03759817,375.9817,,,6138000,0.00200041,2.00041,6215000,0.0020255048,2.0255047999999998,140708000,0.045857564,45.857564,118249000,0.038538042,38.538042000000004,4721000,0.0015386016,1.5386016,453000,0.00014763535,0.14763535,7065000,0.0023025249,2.3025249000000003,38.53936,105.58728661536001,387.95624,7.2906933,1.0926107
,World,1962,3126686700,226456290,0.07242692,72.42692000000001,1.8958,,119452420,0.038204152,382.04152,,,6342000,0.0020283451,2.0283451,6561000,0.0020983873,2.0983872999999997,150838000,0.048242122,48.242121999999995,127126000,0.040658373,40.658373,5317000,0.0017005221,1.7005221,471000,0.00015063869,0.15063869000000002,7609000,0.0024335664,2.4335664,40.657776,111.391166009376,409.50745,7.696575,1.1619345
,World,1963,3195779300,247119200,0.07732674,77.32674,2.0567,,120151870,0.03759705,375.9705,,,7057000,0.002208225,2.2082249999999997,7796000,0.0024394675,2.4394675,159588000,0.049937114,49.937114,134010000,0.041933432,41.933431999999996,5993000,0.0018752859,1.8752859000000002,524000,0.00016396627,0.16396627,8144000,0.0025483612,2.5483612,41.933384,114.88598241278399,422.56177,7.9213004,1.1980968
,World,1964,3267212300,262928940,0.08047501,80.47501,2.1025,,125056100,0.038276084,382.76084000000003,,,7897000,0.0024170452,2.4170452,8251000,0.0025253945,2.5253945,169681000,0.051934488,51.934488,142132000,0.04350253,43.50253,6930000,0.0021210744,2.1210744,549000,0.00016803316,0.16803316000000001,8635000,0.0026429258,2.6429258,43.503803,119.188500177978,438.3852,8.205097,1.2342204
,World,1965,3337112000,254059660,0.0761316,76.13159999999999,2.0353,,124828860,0.037406255,374.06255,,,7888000,0.0023637204,2.3637204,8201000,0.0024575142,2.4575142000000003,171066000,0.05126169,51.26169,143863000,0.043110028,43.110028,6885000,0.0020631612,2.0631612,539000,0.0001615169,0.16151690000000002,8922000,0.0026735691,2.6735691,43.107594,118.10299607924401,434.76355,8.144299,1.2423506
,World,1966,3406417000,261181250,0.07667331,76.67331,2.0781,,125680504,0.03689522,368.9522,,,7619000,0.002236661,2.2366610000000002,7950000,0.0023338306,2.3338306,177115000,0.051994517,51.994516999999995,148615000,0.043627955,43.627955,7764000,0.0022792278,2.2792277999999997,562000,0.00016498275,0.16498275,9068000,0.0026620347,2.6620347,43.626564,119.52483168146401,440.09995,8.230497,1.261681
,World,1967,3475448000,277386340,0.079813115,79.81311500000001,2.1749,,127537630,0.036696747,366.96747,,,7633000,0.0021962635,2.1962635,7881000,0.0022676212,2.2676212000000002,181170000,0.05212853,52.12853,152177000,0.0437863,43.7863,7429000,0.0021375662,2.1375662,790000,0.00022730882,0.22730882,9175000,0.0026399475,2.6399475,43.788597,119.96875770442202,441.70264,8.2744665,1.2722361
,World,1968,3546811000,288624300,0.08137572,81.37572,2.2328,,129264960,0.036445405,364.45405,,,7014000,0.0019775513,1.9775512999999998,7290000,0.0020553675,2.0553675,187878000,0.05297097,52.97097,157624000,0.04444105,44.441050000000004,7968000,0.0022465251,2.2465251,851000,0.00023993386,0.23993386,9503000,0.0026793084,2.6793084,44.440903,121.75589741257801,448.19708,8.404806,1.2922881
,World,1969,3620655400,295584350,0.08163836,81.63835999999999,2.254,,131137510,0.036219276,362.19276,,,7037000,0.0019435708,1.9435708,7653000,0.0021137057,2.1137056999999997,191733000,0.05295533,52.955330000000004,160930000,0.044447754,44.447753999999996,8078000,0.0022310878,2.2310878,855000,0.00023614509,0.23614509,9668000,0.0026702348,2.6702348,44.44687,121.77224535762,448.12903,8.405934,1.2924616
,World,1970,3695390200,316345660,0.08560548,85.60548,2.3808,,132873176,0.03595647,359.56469999999996,,,8223000,0.0022252048,2.2252048,8167000,0.0022100508,2.2100508000000003,207347000,0.056109637,56.109637,173609000,0.04697988,46.97988,9279000,0.0025109663,2.5109663,902000,0.00024408789,0.24408789,10612000,0.002871686,2.871686,46.97528,128.69939597328,473.76855,8.870148,1.3616023
,World,1971,3770163200,317712350,0.08427019,84.27019,2.3618999,,134513920,0.03567854,356.78540000000004,,,7820000,0.0020741809,2.0741809,8421000,0.0022335902,2.2335902,211689000,0.0561485,56.1485,176326000,0.0467688,46.7688,10619000,0.0028165889,2.8165889,899000,0.00023845122,0.23845122,10722000,0.0028439087,2.8439086999999996,46.767056,128.128919266656,471.71667,8.832352,1.3618598
,World,1972,3844800800,307289860,0.07992348,79.92348000000001,2.3244998,,132197910,0.034383554,343.83554,,,7989000,0.002077871,2.0778709999999996,8304000,0.0021598,2.1597999999999997,213245000,0.055463213,55.463212999999996,178312000,0.046377435,46.377435,10078000,0.002621202,2.621202,957000,0.00024890757,0.24890756999999997,10600000,0.00275697,2.75697,46.379044,127.065872701944,467.6998,8.756537,1.3524753
