Product,Country,Year,Population,Production (t),production__tonnes__per_capita,Production per capita (kg),Yield (t/ha),Yield (kg/animal),Land Use (ha),area_harvested__ha__per_capita,Land Use per capita (m²),Producing or slaughtered animals,Producing or slaughtered animals per capita,Imports (t),imports__tonnes__per_capita,Imports per capita (kg),Exports (t),exports__tonnes__per_capita,Exports per capita (kg),Domestic supply (t),domestic_supply__tonnes__per_capita,Domestic supply per capita (kg),Food (t),food__tonnes__per_capita,Food per capita (kg),Animal feed (t),feed__tonnes__per_capita,Animal feed per capita (kg),Other uses (t),other_uses__tonnes__per_capita,Other uses per capita (kg),Supply chain waste (t),waste_in_supply_chain__tonnes__per_capita,Supply chain waste per capita (kg),Food supply (kg per capita per year),Food supply (g per capita per day),Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day)
,World,1961,3068370700,197426880,0.06434258,64.34258,9.3389,,21140296,0.0068897465,68.897465,,,5137000,0.0016741784,1.6741784,5778000,0.0018830841,1.8830841,221233000,0.07210113,72.10113,194215000,0.063295804,63.295804,6365000,0.0020743909,2.0743909,393000,0.00012808101,0.12808101000000002,20110000,0.006553967,6.553967,63.291958,173.402622923508,43.70443,2.264684,0.37744734
,World,1962,3126686700,196456830,0.06283227,62.832269999999994,9.4116,,20873968,0.006676066,66.76066,,,5859000,0.0018738686,1.8738686,6222000,0.001989966,1.9899660000000001,221049000,0.07069752,70.69752,194706000,0.06227231,62.27231,5403000,0.0017280272,1.7280272,535000,0.00017110765,0.17110765,20254000,0.0064777834,6.4777834,62.267776,170.596644869376,42.70358,2.1947653,0.3674494
,World,1963,3195779300,197215120,0.06171112,61.71112,9.523,,20709452,0.006480251,64.80251,,,6156000,0.0019262907,1.9262907,6575000,0.0020574012,2.0574012,221939000,0.06944754,69.44754,194839000,0.0609676,60.9676,5771000,0.0018058193,1.8058193,523000,0.00016365336,0.16365336000000003,20651000,0.0064619607,6.4619607,60.964306,167.02549422015602,41.586826,2.1288495,0.35645854
,World,1964,3267212300,199744210,0.061135974,61.135974000000004,9.7508,,20484810,0.006269813,62.69813,,,6307000,0.0019303919,1.9303918999999998,6910000,0.0021149528,2.1149528,224998000,0.06886543,68.86543,196833000,0.060244936,60.244935999999996,6429000,0.0019677326,1.9677326,612000,0.00018731566,0.18731566000000002,20966000,0.0064170915,6.417091500000001,60.249702,165.067675061652,40.48243,2.0932376,0.3554555
,World,1965,3337112000,202502880,0.060682073,60.682073,9.9438,,20364700,0.006102492,61.02492,,,6655000,0.0019942394,1.9942393999999999,7248000,0.0021719378,2.1719378,227418000,0.06814814,68.14814,200242000,0.060004577,60.004577000000005,5554000,0.0016643133,1.6643133,614000,0.00018399142,0.18399142,20853000,0.0062488164,6.2488164,60.007504,164.404118903904,40.425694,2.1001642,0.3549573
,World,1966,3406417000,209824510,0.061596837,61.596837,10.252399,,20465952,0.0060080583,60.080583,,,7070000,0.0020754947,2.0754947,7691000,0.0022577976,2.2577976,235441000,0.069116905,69.116905,206578000,0.06064378,60.64378,5959000,0.0017493455,1.7493455,598000,0.00017555103,0.17555103,22170000,0.0065083047,6.5083047,60.639545,166.13573806467,40.41322,2.109373,0.3548478
,World,1967,3475448000,217165340,0.06248557,62.485569999999996,10.5701,,20545288,0.005911551,59.11551,,,7448000,0.002143033,2.143033,8385000,0.0024126386,2.4126386,242366000,0.06973662,69.73662,212973000,0.061279293,61.279292999999996,5781000,0.0016633826,1.6633825999999998,653000,0.00018788944,0.18788944000000002,22806000,0.006562032,6.562031999999999,61.274445,167.87519010207,41.421642,2.130256,0.36490497
,World,1968,3546811000,222931860,0.06285417,62.85417,10.8665,,20515476,0.0057842033,57.842032999999994,,,7711000,0.0021740657,2.1740657,8648000,0.0024382467,2.4382467,249585000,0.07036885,70.36885,219875000,0.06199231,61.99231,5719000,0.0016124344,1.6124344,687000,0.00019369513,0.19369513,23173000,0.006533475,6.533475,61.99037,169.83662843862,41.43214,2.1603901,0.36499742
,World,1969,3620655400,225549040,0.062295087,62.295087,10.9307995,,20634308,0.0056990534,56.990534000000004,,,8768000,0.002421661,2.421661,9342000,0.002580196,2.580196,252296000,0.06968241,69.68241,222119000,0.061347734,61.347734,5899000,0.001629263,1.629263,549000,0.00015163001,0.15163001,23644000,0.0065303096,6.5303096,61.347534,168.075433935684,41.437702,2.140948,0.36504644
,World,1970,3695390200,224545620,0.06076371,60.763709999999996,11.0384,,20342134,0.0055047325,55.047325,,,9326000,0.0025236849,2.5236848999999997,9999000,0.0027058036,2.7058036,249619000,0.06754875,67.54875,219872000,0.059498996,59.498996,5573000,0.0015080952,1.5080951999999999,678000,0.00018347183,0.18347183,23388000,0.0063289665,6.3289665,59.4961,163.00301206860001,39.466732,2.0424035,0.3453339
