years,platinum
1967,0.00004068360275
1968,0.0000419432945
1969,0.000044649299
1970,0.00005603318
1971,0.000051989725
1972,0.00005623535275
1973,0.00007456153495
1974,0.00008405245694
1975,0.00008074491075
1976,0.000083839709
1977,0.0000894507804
1978,0.00008964673245
1979,0.00009306314089
1980,0.00009505252075
1981,0.00009602294995
1982,0.0000873544045
1983,0.000088131992
1984,0.0001062653325
1985,0.000110912
1986,0.000116709
1987,0.000122456
1988,0.000124521
1989,0.000124884
1990,0.000128813
1991,0.000128861
1992,0.000132891
1993,0.000122
1994,0.000128
1995,0.000145
1996,0.000146
1997,0.000154
1998,0.000146
1999,0.000169
2000,0.000155
2001,0.00016
2002,0.000184
2003,0.000205
2004,0.000214
2005,0.000217
2006,0.000221
2007,0.000213
2008,0.000189
2009,0.000181
2010,0.000192
2011,0.000195
2012,0.000183
2013,0.000183
2014,0.000147
2015,0.000189
2016,0.000191
2017,0.000199
2018,0.00019
2019,0.000186
2020,0.000166
