Year,$ money of the day,$ 2019
1861,0.49,13.89
1862,1.05,26.78
1863,3.15,65.14
1864,8.06,131.21
1865,6.59,109.62
1866,3.74,65.04
1867,2.41,43.90
1868,3.63,69.44
1869,3.64,69.63
1870,3.86,77.72
1871,4.34,92.24
1872,3.64,77.36
1873,1.83,38.90
1874,1.17,26.33
1875,1.35,31.30
1876,2.56,61.21
1877,2.42,57.86
1878,1.19,31.40
1879,0.86,23.50
1880,0.95,25.07
1881,0.86,22.69
1882,0.78,20.58
1883,1.00,27.33
1884,0.84,23.80
1885,0.88,24.94
1886,0.71,20.12
1887,0.67,18.99
1888,0.88,24.94
1889,0.94,26.64
1890,0.87,24.65
1891,0.67,18.99
1892,0.56,15.87
1893,0.64,18.14
1894,0.84,24.72
1895,1.36,41.62
1896,1.18,36.11
1897,0.79,24.18
1898,0.91,27.85
1899,1.29,39.48
1900,1.19,36.42
1901,0.96,29.38
1902,0.80,23.54
1903,0.94,26.64
1904,0.86,24.37
1905,0.62,17.57
1906,0.73,20.69
1907,0.72,19.68
1908,0.72,20.40
1909,0.70,19.84
1910,0.61,16.67
1911,0.61,16.67
1912,0.74,19.52
1913,0.95,24.47
1914,0.81,20.59
1915,0.64,16.11
1916,1.10,25.74
1917,1.56,31.08
1918,1.98,33.59
1919,2.01,29.70
1920,3.07,39.16
1921,1.73,24.70
1922,1.61,24.54
1923,1.34,20.06
1924,1.43,21.37
1925,1.68,24.49
1926,1.88,27.14
1927,1.30,19.13
1928,1.17,17.45
1929,1.27,18.94
1930,1.19,18.21
1931,0.65,10.91
1932,0.87,16.27
1933,0.67,13.21
1934,1.00,19.08
1935,0.97,18.06
1936,1.09,20.10
1937,1.18,21.00
1938,1.13,20.49
1939,1.02,18.76
1940,1.02,18.58
1941,1.14,19.78
1942,1.19,18.66
1943,1.20,17.73
1944,1.21,17.57
1945,1.05,14.90
1946,1.12,14.65
1947,1.90,21.73
1948,1.99,21.12
1949,1.78,19.08
1950,1.71,18.15
1951,1.71,16.81
1952,1.71,16.46
1953,1.93,18.43
1954,1.93,18.34
1955,1.93,18.41
1956,1.93,18.15
1957,1.90,17.24
1958,2.08,18.38
1959,2.08,18.22
1960,1.90,16.38
1961,1.80,15.37
1962,1.80,15.20
1963,1.80,15.02
1964,1.80,14.82
1965,1.80,14.57
1966,1.80,14.17
1967,1.80,13.77
1968,1.80,13.22
1969,1.80,12.54
1970,1.80,11.85
1971,2.24,14.12
1972,2.48,15.16
1973,3.29,18.93
1974,11.58,60.07
1975,11.53,54.80
1976,12.80,57.50
1977,13.92,58.68
1978,14.02,54.97
1979,31.61,111.31
1980,36.83,114.27
1981,35.93,101.05
1982,32.97,87.35
1983,29.55,75.85
1984,28.78,70.82
1985,27.56,65.48
1986,14.43,33.66
1987,18.44,41.49
1988,14.92,32.25
1989,18.23,37.58
1990,23.73,46.41
1991,20.00,37.54
1992,19.32,35.21
1993,16.97,30.03
1994,15.82,27.29
1995,17.02,28.55
1996,20.67,33.68
1997,19.09,30.41
1998,12.72,19.94
1999,17.97,27.58
2000,28.50,42.31
2001,24.44,35.29
2002,25.02,35.56
2003,28.83,40.06
2004,38.27,51.79
2005,54.52,71.37
2006,65.14,82.61
2007,72.39,89.26
2008,97.26,115.48
2009,61.67,73.49
2010,79.50,93.20
2011,111.26,126.45
2012,111.67,124.35
2013,108.66,119.25
2014,98.95,106.85
2015,52.39,56.51
2016,43.73,46.59
2017,54.19,56.52
2018,71.31,72.60
2019,64.21,64.21
