Country,Year,pop,ISO3166_alpha3,ISO3166_numeric,Region,SubRegion,OPEC,EU,OECD,CIS,biodiesel_cons_kbd,biodiesel_cons_kboed,biodiesel_cons_ktoe,biodiesel_cons_pj,biodiesel_prod_kbd,biodiesel_prod_kboed,biodiesel_prod_ktoe,biodiesel_prod_pj,biofuels_cons_ej,biofuels_cons_kbd,biofuels_cons_kboed,biofuels_cons_ktoe,biofuels_cons_mtoe,biofuels_cons_pj,biofuels_prod_kbd,biofuels_prod_kboed,biofuels_prod_ktoe,biofuels_prod_pj,biogeo_ej,biogeo_mtoe,biogeo_twh,co2_mtco2,coalcons_ej,coalcons_mtoe,coalprod_ej,coalprod_mt,coalprod_mtoe,cobalt_kt,elect_twh,electbyfuel_coal,electbyfuel_gas,electbyfuel_oil,ethanol_cons_kbd,ethanol_cons_kboed,ethanol_cons_ktoe,ethanol_cons_pj,ethanol_prod_kbd,ethanol_prod_kboed,ethanol_prod_ktoe,ethanol_prod_pj,gascons_bcfd,gascons_bcm,gascons_ej,gascons_mtoe,gasprod_bcfd,gasprod_bcm,gasprod_ej,gasprod_mtoe,gasreserves_tcm,graphite_kt,hydro_ej,hydro_mtoe,hydro_twh,liqcons_kbd,lithium_kt,nuclear_ej,nuclear_mtoe,nuclear_twh,oilcons_ej,oilcons_kbd,oilcons_mt,oilcons_mtoe,oilprod_crudecond_kbd,oilprod_kbd,oilprod_mt,oilprod_ngl_kbd,oilreserves_bbl,primary_ej,primary_gj_pc,primary_mtoe,rareearths_kt,refcap_kbd,refthru_kbd,ren_power_ej,ren_power_mtoe,ren_power_twh,renewables_ej,renewables_mtoe,solar_ej,solar_mtoe,solar_twh,wind_ej,wind_mtoe,wind_twh
Algeria,1965,12.55088,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,5.568752776,0.00293076,0.07,,,,,,,,,,,,,,,,,0.071891945,0.74305,0.0267498,0.638907997,,,,,,,0.004,0.095538359,0.4,26.71619178,,0,0,0,0.055458907,26.71619178,1.289,1.324613237,,569.9438356,26.13931234,,,0.089139467,7.102248368,2.129059592,,54.22191781,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1966,12.902626,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,6.867505979,0.002847024,0.068,,,,,,,,,,,,,,,,,0.074685673,0.771925,0.0277893,0.663736028,,,,,,,0.00355,0.084790293,0.355,35.35323288,,0,0,0,0.072981739,35.35323288,1.693,1.743138889,,733.5931507,33.64247607,,,0.107168063,8.305910983,2.55966521,,54.22191781,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1967,13.27502,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,6.369306902,0.002177136,0.052,,,,,,,,,,,,,,,,,0.072450691,0.748825,0.0269577,0.643873603,,,,,,,0.0041,0.097926818,0.41,33.2859726,,0,0,0,0.068191312,33.2859726,1.578,1.628721506,,842.6643836,38.64524181,,,0.101426148,7.640376286,2.422521926,,54.22191781,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1968,13.663581,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,6.77113723,0.00230274,0.055,,,,,,,,,,,,,,,,,0.075967532,0.787325,0.0283437,0.676977644,,,,,,,0.00563,0.13447024,0.563,35.37442623,,0,0,0,0.072602285,35.37442623,1.682,1.734075786,,922.495082,42.42374811,,,0.108878725,7.968535115,2.60052367,,54.22191781,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1969,14.061724,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,7.592118351,0.00293076,0.07,,,,,,,,,,,,,,,,,0.100155164,1.03516875,0.037266075,0.89008491,,,,,,,0.00361,0.086223369,0.361,37.71432877,,0,0,0,0.076701348,37.71432877,1.775,1.831980224,,969.3315068,44.43579345,,,0.120508183,8.5699437,2.878288502,,54.22191781,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1970,14.464992,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,8.264424632,0.003475044,0.083,,,,,,,,,,,,,,,,,0.094148648,0.9730875,0.03503115,0.836704643,0.235883804,2.4380125,0.08776845,2.096313414,,,0.0058,0.13853062,0.58,43.00991781,,0,0,0,0.087651651,43.00991781,2.032,2.093523717,,1053.926849,48.3134937,,,0.131957845,9.122566055,3.151758981,,57.73630137,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1971,14.872253,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,8.930844168,0.000962964,0.023,,,,,,,,,,,,,,,,,0.106906675,1.10495,0.0397782,0.950085985,0.248641831,2.569875,0.0925155,2.209694755,,,0.0033,0.078819146,0.33,48.87849315,,0,0,0,0.098784181,48.87849315,2.288,2.359419628,,802.5873973,36.79765995,,,0.142825345,9.603477361,3.411324759,,57.73630137,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1972,15.285992,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,9.986480526,0.00083736,0.02,,,,,,,,,,,,,,,,,0.123795501,1.2830125,0.04618845,1.103192175,0.31417868,3.2561375,0.11722095,2.799774291,,,0.00495,0.118228719,0.495,53.54349727,,0,0,0,0.108437091,53.54349727,2.514,2.589975423,,1081.04918,49.72648111,,,0.160412901,10.49411128,3.831396317,,116.2758904,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1973,15.709831,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,11.61221403,0.000962964,0.023,,,,,,,,,,,,,,,,,0.172792104,1.78591875,0.064293075,1.535613715,0.418128022,4.321625,0.1555785,3.715928633,,,0.00752,0.179612114,0.752,58.84926027,,0,0,0,0.118441242,58.84926027,2.739,2.828920464,,1128.74,51.69863224,,,0.191217281,12.17182292,4.567146293,,116.2758904,,0,0,0,0,0,0,0,0,0,0,0
Algeria,1974,16.149018,DZA,12,Africa,Northern Africa,1,0,0,0,,,,,,,,,0,,,,0,,,,,,0,0,0,12.97369526,0.000795492,0.019,,,,,,,,,,,,,,,,,0.200030956,2.06745,0.0744282,1.777687016,0.483408144,4.9963375,0.17986815,4.296076956,,,0.00497,0.118706411,0.497,65.64186301,,0,0,0,0.131557827,65.64186301,3.036,3.142204715,,1045.983014,47.83411335,,,0.211751519,13.11234646,5.057598142,,116.2758904,,0,0,0,0,0,0,0,0,0,0,0
