year,country,reserves
2020,Algeria,832.7585157581327
2020,Angola,832.7585157581327
2020,Argentina,832.7585157581327
2020,Australia,832.7585157581327
2020,Austria,832.7585157581327
2021,Azerbaijan,805.864624427931
2020,Bahrain,832.7585157581327
2020,Bangladesh,832.7585157581327
2020,Belarus,832.7585157581327
2020,Belgium,832.7585157581327
2020,Bolivia,832.7585157581327
2020,Brazil,832.7585157581327
2020,Brunei,832.7585157581327
2020,Bulgaria,832.7585157581327
2054,Canada,205.29239869630334
2021,Chad,805.864624427931
2020,Chile,832.7585157581327
2020,China,832.7585157581327
2020,China Hong Kong SAR,832.7585157581327
2020,Colombia,832.7585157581327
2020,Croatia,832.7585157581327
2020,Cuba,832.7585157581327
2020,Curacao,832.7585157581327
2020,Cyprus,832.7585157581327
2020,Czech Republic,832.7585157581327
2020,DR Congo,832.7585157581327
2020,Denmark,832.7585157581327
2020,Ecuador,832.7585157581327
2020,Egypt,832.7585157581327
2020,Equatorial Guinea,832.7585157581327
2020,Estonia,832.7585157581327
2020,Finland,832.7585157581327
2020,France,832.7585157581327
2020,Gabon,832.7585157581327
2020,Germany,832.7585157581327
2020,Greece,832.7585157581327
2020,Hungary,832.7585157581327
2020,Iceland,832.7585157581327
2020,India,832.7585157581327
2020,Indonesia,832.7585157581327
2045,Iran,304.10653975549593
2061,Iraq,167.90709450792082
2020,Ireland,832.7585157581327
2020,Israel,832.7585157581327
2020,Italy,832.7585157581327
2020,Japan,832.7585157581327
2030,Kazakhstan,607.9738088118339
2048,Kuwait,259.7912831184573
2020,Latvia,832.7585157581327
2033,Libya,547.0951063837106
2020,Lithuania,832.7585157581327
2020,Luxembourg,832.7585157581327
2020,Madagascar,832.7585157581327
2020,Malaysia,832.7585157581327
2020,Mexico,832.7585157581327
2020,Mongolia,832.7585157581327
2020,Morocco,832.7585157581327
2020,Mozambique,832.7585157581327
2020,Myanmar,832.7585157581327
2020,Netherlands,832.7585157581327
2020,Netherlands Antilles,832.7585157581327
2020,New Caledonia,832.7585157581327
2020,New Zealand,832.7585157581327
2023,Nigeria,756.1676115138008
2020,North Macedonia,832.7585157581327
2020,Norway,832.7585157581327
2020,Oman,832.7585157581327
2020,Pakistan,832.7585157581327
2020,Papua New Guinea,832.7585157581327
2020,Peru,832.7585157581327
2020,Philippines,832.7585157581327
2020,Poland,832.7585157581327
2020,Portugal,832.7585157581327
2025,Qatar,711.6936515705826
2020,Republic of Congo,832.7585157581327
2020,Romania,832.7585157581327
2020,Russian Federation,832.7585157581327
2047,Saudi Arabia,271.46415554347226
2020,Serbia,832.7585157581327
2020,Singapore,832.7585157581327
2020,Slovakia,832.7585157581327
2020,Slovenia,832.7585157581327
2020,South Africa,832.7585157581327
2020,South Korea,832.7585157581327
2023,South Sudan,756.1676115138008
2020,Spain,832.7585157581327
2020,Sri Lanka,832.7585157581327
2020,Sudan,832.7585157581327
2020,Sweden,832.7585157581327
2020,Switzerland,832.7585157581327
2020,Syria,832.7585157581327
2020,Taiwan,832.7585157581327
2021,Thailand,805.864624427931
2020,Trinidad & Tobago,832.7585157581327
2020,Tunisia,832.7585157581327
2020,Turkey,832.7585157581327
2020,Turkmenistan,832.7585157581327
2020,US,832.7585157581327
2020,USSR,832.7585157581327
2020,Ukraine,832.7585157581327
2043,United Arab Emirates,341.1991544814225
2020,United Kingdom,832.7585157581327
2020,Uzbekistan,832.7585157581327
2096,Venezuela,0.0
2021,Vietnam,805.864624427931
2020,Yemen,832.7585157581327
2020,Zambia,832.7585157581327
2020,Zimbabwe,832.7585157581327
