year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
1960,0.044777976,0.005410209,0.003460105,0.003982402,0.004467757,0.00513671,0.005877638,0.007183483,0.009321418,0.011140388,0.01544041,0.022136554,0.033798032,0.04939631,0.071939745,0.107856704,0.160449875,0.228402097,0.337745605,0.409782609
1961,0.044508775,0.005255418,0.003318251,0.00389843,0.004452663,0.005064513,0.005799912,0.007005728,0.009177171,0.011141658,0.015181419,0.0217419,0.033039774,0.048507416,0.070783816,0.104246387,0.152468092,0.208793499,0.284,0.377
1962,0.043735892,0.005158889,0.003180876,0.003789298,0.004465246,0.004982438,0.005747904,0.006847489,0.0089674,0.011221644,0.014913833,0.021385391,0.032276831,0.047546617,0.069910979,0.101157215,0.146715004,0.19728293,0.252006173,0.322222222
1963,0.042644045,0.005111502,0.003051267,0.003660735,0.004483134,0.004900072,0.005706742,0.006706555,0.008716107,0.011321655,0.014667045,0.021029793,0.031511114,0.046486002,0.069080405,0.098566812,0.142702936,0.192322457,0.234458004,0.288888889
1964,0.041529812,0.005086519,0.002938275,0.003520543,0.004471187,0.004832706,0.005655086,0.006579626,0.008458763,0.011346627,0.01447954,0.020637381,0.030740216,0.045307566,0.068025494,0.096522307,0.139943543,0.191990803,0.234458004,0.293385214
1965,0.037654599,0.003912782,0.002196738,0.002961936,0.003720528,0.003939129,0.004706447,0.005596373,0.007238279,0.009759068,0.012434361,0.018129816,0.028136392,0.042918965,0.064524238,0.096518356,0.150083542,0.223144703,0.314376489,0.448241206
1966,0.036554318,0.003848722,0.002153695,0.002844583,0.00364628,0.003931321,0.00464673,0.005529291,0.007061076,0.009612924,0.012448483,0.017821458,0.027543924,0.041782086,0.062947067,0.094080011,0.142128165,0.203427347,0.271654084,0.379574468
1967,0.035804054,0.00376641,0.002121512,0.002721446,0.003540511,0.003938497,0.004564633,0.005474233,0.006887283,0.009366538,0.012520295,0.017461911,0.02694852,0.0405646,0.06121435,0.092135267,0.135687311,0.191047779,0.24815047,0.301351351
1968,0.03529467,0.003671828,0.002096026,0.002604277,0.003413997,0.003945732,0.004476454,0.005423826,0.006725488,0.009064686,0.012598311,0.017104601,0.026349833,0.039310881,0.059354043,0.090355073,0.13072585,0.184550607,0.235455086,0.260818713
1969,0.034876306,0.003578286,0.002069537,0.00250597,0.003279502,0.003928935,0.004405253,0.005366355,0.006583903,0.008765352,0.012595307,0.016824397,0.025741408,0.038080181,0.057411273,0.088414332,0.127358658,0.181667464,0.236722488,0.261583578
