year,age,death_rate
1960,0-4,0.044777976
1960,5-9,0.005410209
1960,10-14,0.003460105
1960,15-19,0.003982402
1960,20-24,0.004467757
1960,25-29,0.00513671
1960,30-34,0.005877638
1960,35-39,0.007183483
1960,40-44,0.009321418
1960,45-49,0.011140388
1960,50-54,0.01544041
1960,55-59,0.022136554
1960,60-64,0.033798032
1960,65-69,0.04939631
1960,70-74,0.071939745
1960,75-79,0.107856704
1960,80-84,0.160449875
1960,85-89,0.228402097
1960,90-94,0.337745605
1960,95+,0.409782609
1961,0-4,0.044508775
1961,5-9,0.005255418
1961,10-14,0.003318251
1961,15-19,0.00389843
1961,20-24,0.004452663
1961,25-29,0.005064513
1961,30-34,0.005799912
1961,35-39,0.007005728
1961,40-44,0.009177171
1961,45-49,0.011141658
1961,50-54,0.015181419
1961,55-59,0.0217419
1961,60-64,0.033039774
1961,65-69,0.048507416
1961,70-74,0.070783816
1961,75-79,0.104246387
1961,80-84,0.152468092
1961,85-89,0.208793499
1961,90-94,0.284
1961,95+,0.377
1962,0-4,0.043735892
1962,5-9,0.005158889
1962,10-14,0.003180876
1962,15-19,0.003789298
1962,20-24,0.004465246
1962,25-29,0.004982438
1962,30-34,0.005747904
1962,35-39,0.006847489
1962,40-44,0.0089674
1962,45-49,0.011221644
1962,50-54,0.014913833
1962,55-59,0.021385391
1962,60-64,0.032276831
1962,65-69,0.047546617
1962,70-74,0.069910979
1962,75-79,0.101157215
1962,80-84,0.146715004
1962,85-89,0.19728293
1962,90-94,0.252006173
1962,95+,0.322222222
1963,0-4,0.042644045
1963,5-9,0.005111502
1963,10-14,0.003051267
1963,15-19,0.003660735
1963,20-24,0.004483134
1963,25-29,0.004900072
1963,30-34,0.005706742
1963,35-39,0.006706555
1963,40-44,0.008716107
1963,45-49,0.011321655
1963,50-54,0.014667045
1963,55-59,0.021029793
1963,60-64,0.031511114
1963,65-69,0.046486002
1963,70-74,0.069080405
1963,75-79,0.098566812
1963,80-84,0.142702936
1963,85-89,0.192322457
1963,90-94,0.234458004
1963,95+,0.288888889
1964,0-4,0.041529812
1964,5-9,0.005086519
1964,10-14,0.002938275
1964,15-19,0.003520543
1964,20-24,0.004471187
1964,25-29,0.004832706
1964,30-34,0.005655086
1964,35-39,0.006579626
1964,40-44,0.008458763
1964,45-49,0.011346627
1964,50-54,0.01447954
1964,55-59,0.020637381
1964,60-64,0.030740216
1964,65-69,0.045307566
1964,70-74,0.068025494
1964,75-79,0.096522307
1964,80-84,0.139943543
1964,85-89,0.191990803
1964,90-94,0.234458004
1964,95+,0.293385214
1965,0-4,0.037654599
1965,5-9,0.003912782
1965,10-14,0.002196738
1965,15-19,0.002961936
1965,20-24,0.003720528
1965,25-29,0.003939129
1965,30-34,0.004706447
1965,35-39,0.005596373
1965,40-44,0.007238279
1965,45-49,0.009759068
1965,50-54,0.012434361
1965,55-59,0.018129816
1965,60-64,0.028136392
1965,65-69,0.042918965
1965,70-74,0.064524238
