year,gdp
1960,1.13203E+13
1961,1.18094E+13
1962,1.24568E+13
1963,1.31214E+13
1964,1.4002E+13
1965,1.47697E+13
1966,1.56189E+13
1967,1.63275E+13
1968,1.73619E+13
1969,1.84257E+13
1970,1.90797E+13
1971,1.9908E+13
1972,2.10549E+13
1973,2.24349E+13
1974,2.28701E+13
1975,2.30337E+13
1976,2.4274E+13
1977,2.52463E+13
1978,2.62426E+13
1979,2.73338E+13
1980,2.78431E+13
1981,2.83638E+13
1982,2.85148E+13
1983,2.92E+13
1984,3.05059E+13
1985,3.16276E+13
1986,3.27126E+13
1987,3.39183E+13
1988,3.54888E+13
1989,3.68113E+13
1990,3.79077E+13
1991,3.84795E+13
1992,3.91632E+13
1993,3.97477E+13
1994,4.0919E+13
1995,4.2155E+13
1996,4.36013E+13
1997,4.5218E+13
1998,4.63756E+13
1999,4.78806E+13
2000,4.99995E+13
2001,5.0976E+13
2002,5.20816E+13
2003,5.36181E+13
2004,5.59814E+13
2005,5.81643E+13
2006,6.07044E+13
2007,6.33264E+13
2008,6.45036E+13
2009,6.34286E+13
2010,6.61627E+13
2011,6.82314E+13
2012,6.99507E+13
2013,7.18194E+13
2014,7.38837E+13
2015,7.60404E+13
2016,7.80217E+13
2017,8.05818E+13
2018,8.30267E+13
2019,8.49658E+13
2020,8.19126E+13
