year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+,,
2020,0.007295113,0.000555725,0.000453531,0.000773654,0.001101371,0.001281664,0.001575911,0.002049008,0.002791987,0.003929222,0.005948189,0.008452692,0.013382367,0.020083649,0.029904921,0.046074831,0.077814702,0.124473786,0.193087519,0.308791037,,
2021,0.007157622,0.000543271,0.000446421,0.000768766,0.001103371,0.001281252,0.001557931,0.002017847,0.002767215,0.003899503,0.005901768,0.008307676,0.013230811,0.019857496,0.029478665,0.045422595,0.077061813,0.123530347,0.191895093,0.306045086,,
2022,0.007021201,0.000526058,0.000434607,0.000751447,0.001085662,0.001265263,0.001533325,0.001980673,0.002730843,0.00386478,0.005854654,0.008179851,0.013068772,0.019620606,0.029072171,0.044803924,0.076253592,0.122414771,0.190377418,0.302945729,,
2023,0.006870866,0.000513718,0.000426798,0.000739943,0.001076709,0.001255564,0.001520453,0.001951012,0.002694415,0.003832886,0.005814081,0.008088592,0.012887011,0.019397318,0.028714952,0.044262293,0.075498929,0.121437742,0.189125825,0.300373049,,
2024,0.006721649,0.000499768,0.000416526,0.000723158,0.001060208,0.001241325,0.001506558,0.001918617,0.002652546,0.003797703,0.005773642,0.008014946,0.012688164,0.019160612,0.028364403,0.043735445,0.074679811,0.120503202,0.188160178,0.298149406,,
2025,0.006577775,0.000489717,0.000409106,0.000712266,0.001050602,0.00123373,0.001500282,0.001892831,0.002611201,0.003765806,0.00573746,0.007958825,0.01249124,0.018929897,0.02803574,0.043236498,0.073883182,0.11960646,0.187198396,0.295536857,,
2026,0.006434904,0.000479601,0.000401402,0.000699655,0.001036467,0.001221542,0.001491147,0.001868076,0.002569492,0.003730495,0.005700757,0.007904145,0.012304363,0.018700126,0.027712212,0.042741158,0.073133569,0.1186767,0.186069739,0.292509788,,
2027,0.006292036,0.000468306,0.00039165,0.000683705,0.001016083,0.001205284,0.001477642,0.001845425,0.002526511,0.003687226,0.005656629,0.007851555,0.01213582,0.01847382,0.027377001,0.0422781,0.072386211,0.117655058,0.184677699,0.289120654,,
2028,0.006185167,0.000475482,0.000401852,0.000709873,0.001063304,0.001239171,0.00150343,0.001859978,0.002510678,0.003661155,0.005631638,0.007822259,0.012018783,0.0182754,0.027082145,0.041908989,0.071742027,0.116706272,0.183417539,0.286246133,,
2029,0.00601199,0.000446069,0.000375201,0.000654916,0.000976161,0.001172297,0.001448127,0.001813484,0.002446264,0.003586795,0.005569804,0.007761336,0.011880037,0.018018927,0.026744452,0.041511818,0.071026899,0.115659302,0.182205218,0.283505924,,
2030,0.005890822,0.000446035,0.000378097,0.000665813,0.000998984,0.001186187,0.00146011,0.001823195,0.002425741,0.003548036,0.005540081,0.007735927,0.011787167,0.017811217,0.026458136,0.041154729,0.070414121,0.114711408,0.181017881,0.280810327,,
2031,0.005712685,0.000437516,0.000373531,0.000658067,0.000989724,0.001177512,0.001450872,0.001814451,0.002395217,0.003496606,0.005489956,0.00768931,0.011675348,0.01758151,0.026121318,0.040742931,0.069708838,0.113616353,0.17960563,0.277765591,,
2032,0.005559721,0.000418879,0.000357468,0.000625204,0.000938531,0.001134928,0.001415526,0.001784119,0.002355596,0.003436188,0.00542493,0.007637961,0.011569383,0.017381187,0.025796873,0.040352878,0.069161254,0.112707051,0.178237313,0.274626839,,
2033,0.005424649,0.000412364,0.000353739,0.000619936,0.000930212,0.001124531,0.001405849,0.001773801,0.002339508,0.003392445,0.005367378,0.007602109,0.011481208,0.017219335,0.025482513,0.039967275,0.068760843,0.111893923,0.176984086,0.271826043,,
2034,0.005284613,0.000398254,0.000341974,0.000598353,0.00089462,0.001091487,0.001377449,0.001748464,0.002316902,0.003338905,0.005297598,0.007554836,0.011391115,0.017048322,0.025131403,0.039538136,0.068387227,0.111061069,0.175742872,0.269061453,,
2035,0.005158341,0.000391352,0.000337648,0.00059387,0.000886476,0.001080517,0.001366496,0.001737894,0.002307376,0.003296961,0.005233973,0.007517278,0.011315507,0.016898058,0.024798196,0.039145588,0.06802949,0.110239086,0.174623081,0.266297346,,
2036,0.005028149,0.000382603,0.000331521,0.000584577,0.000867045,0.001061739,0.00134813,0.00171991,0.002293511,0.003256855,0.005166545,0.007468374,0.011237553,0.016754457,0.024488377,0.038749666,0.067658113,0.109525566,0.173524131,0.263458622,,
