year,pop
1960,1430907000
1961,1450419000
1962,1469982000
1963,1491370000
1964,1517010000
1965,1547913000
1966,1578062000
1967,1614243000
1968,1654522000
1969,1695924000
1970,1736786000
1971,1775509000
1972,1814578000
1973,1854056000
1974,1894729000
1975,1937165000
1976,1978698000
1977,2022246000
1978,2067829000
1979,2115261000
1980,2164337000
1981,2214955000
1982,2266400000
1983,2318884000
1984,2372579000
1985,2427278000
1986,2478495000
1987,2531030000
1988,2584252000
1989,2637831000
1990,2691748000
1991,2741290000
1992,2793628000
1993,2847249000
1994,2900154000
1995,2951511000
1996,3006091000
1997,3056776000
1998,3105570000
1999,3155317000
2000,3206991000
2001,3254484000
2002,3304274000
2003,3355027000
2004,3404328000
2005,3450925000
2006,3495014000
2007,3536834000
2008,3576285000
2009,3613839000
2010,3649699000
2011,3683248000
2012,3715675000
2013,3746728000
2014,3776086000
2015,3803697000
2016,3830313000
2017,3855589000
2018,3879894000
2019,3903833000
2020,3927781000
