year,population
1960,3032156070
1961,3071596055
1962,3124561005
1963,3189655687
1964,3255145692
1965,3322046795
1966,3392097729
1967,3461619724
1968,3532782993
1969,3606553753
1970,3681975908
1971,3760516757
1972,3836900801
1973,3912984371
1974,3988487336
1975,4062507027
1976,4135432265
1977,4207786422
1978,4281339378
1979,4356778367
1980,4432963653
1981,4511164132
1982,4592387213
1983,4674330282
1984,4755996689
1985,4839176734
1986,4924747934
1987,5012556248
1988,5101287675
1989,5189977062
1990,5280046096
1991,5368139468
1992,5452576447
1993,5537885552
1994,5622085788
1995,5706753900
1996,5789655609
1997,5872286683
1998,5954005906
1999,6034491620
2000,6114332517
2001,6193671694
2002,6272753009
2003,6351882385
2004,6431551721
2005,6511748273
2006,6592734559
2007,6674203697
2008,6757020825
2009,6839574233
2010,6921877071
2011,7002880914
2012,7085790438
2013,7169675197
2014,7254292848
2015,7339076654
2016,7424484741
2017,7509410228
2018,7592475615
2019,7673345391
2020,7752840547
2050,9551506077
