year,0-4,05-Sep,Oct-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Total
1950,338497,270083,261028,239488,222896,196163,169236,164473,147563,128450,107722,88674,73448,55143,37383,21902,9627,3475,947,198,34,2536430
1955,407177,316014,263432,255371,232637,215829,189433,162531,157012,138918,120107,97658,77073,59538,40493,23754,11309,3627,917,165,24,2773019
1960,434008,383756,309875,257985,248984,226721,209608,183031,155427,149151,130424,109466,85360,63029,44212,26016,12359,4387,967,164,20,3034950
1965,479304,411063,376012,304328,252276,243201,220676,203346,176285,147801,140160,119924,96281,70710,47734,29555,14364,5107,1259,179,20,3339585
1970,524080,459404,405658,370848,298471,247308,238132,214924,197371,169732,139907,130546,107840,82239,55587,33116,17199,6270,1536,246,23,3700437
1975,544510,504917,453689,400257,364789,294190,243513,233575,209782,191059,162413,130909,118327,93141,65451,39218,19717,7715,1967,311,32,4079482
1980,547597,527349,500035,449746,395072,359396,289865,238555,228343,203360,183250,153161,119741,103714,75524,47567,23497,9180,2568,437,45,4458002
1985,590128,532513,522713,496129,444469,390205,355119,285527,233895,221934,195489,173017,140541,105008,84768,55230,29197,11192,3183,598,66,4870921
1990,643553,575774,528773,518869,490173,438507,385595,350133,280554,227917,213991,185445,159735,124430,86539,63067,34899,14418,3999,766,92,5327229
1995,619843,630434,572597,524436,511301,483642,433843,380503,344174,273612,220280,203173,171695,141632,103340,64913,40593,17777,5325,979,120,5744212
2000,615666,608770,626883,568145,517287,505356,478114,428112,373778,336199,264787,209514,188677,153220,118485,78789,42357,21140,6740,1327,151,6143497
2005,627238,607187,606629,622164,560548,511318,499702,471989,420747,364457,325570,253710,195777,169123,129306,90869,52636,22665,8321,1744,208,6541908
2010,652014,619555,604972,602028,613689,555351,506150,494465,465073,412943,354590,312065,237241,177320,144462,100725,62689,29495,9399,2305,294,6956825
2015,670674,644706,615946,601644,597563,609086,550414,500480,487733,456777,402233,340945,294050,216166,153429,114720,70755,36351,12920,2790,417,7379799
2020,677942,664439,641267,612196,597388,594692,605531,544819,493789,479366,445773,387849,322142,269644,188677,123782,81930,42186,16680,4134,573,7794799
2025,676919,672627,661507,638189,608553,594260,590816,599558,537471,485170,468057,430696,367758,296485,236706,154012,89939,49694,19735,5427,858,8184437
2030,677442,671912,670108,658875,635001,605553,590398,584968,591901,528475,473903,452712,409748,340038,261881,194427,113822,55810,23737,6602,1173,8548486
2035,681211,672732,669455,667783,656024,632168,601819,584795,577630,582587,516676,458621,431476,380605,302373,217237,144898,72312,27483,8147,1492,8887524
2040,685645,676879,670457,667240,665002,653151,628446,596406,577753,568748,570436,500642,437526,401928,340463,253065,163970,92884,36586,9737,1883,9198847
2045,689531,681644,674744,668363,664528,662154,649501,623132,589556,569188,557106,553818,478519,408299,361128,287229,193297,106864,47540,13342,2321,9481804
2050,690176,685841,679642,672763,665734,661720,658603,644320,616365,581150,557894,541187,530787,447800,367975,306711,221727,127935,55852,17659,3195,9735036
2055,688032,686782,683967,677768,670267,663073,658338,653600,637660,607963,569977,542394,519123,498527,405163,314022,238931,148740,68163,21251,4356,9958097
2060,683566,684906,685032,682197,675403,667746,659846,653529,647140,629374,596783,554641,520909,488240,453330,347682,246219,162293,80623,26556,5455,10151470
2065,678937,680691,683272,683364,679959,673021,664664,655214,647293,639087,618335,581424,533358,490736,444912,391683,274608,168728,89479,32141,6971,10317877
2070,673639,676293,679168,681701,681254,677717,670088,660204,649189,639515,628348,603166,560073,503365,448221,385684,312193,190003,94194,36495,8730,10459240
2075,668180,671205,674871,677689,679713,679156,674936,665803,654380,641668,629140,613585,582040,529851,460916,389827,308872,218599,107441,39098,10319,10577289
2080,661953,665941,669877,673478,675822,677756,676535,670831,660190,647109,631637,614877,592990,551984,486836,402286,313589,217829,125518,45390,11475,10673903
2085,653766,659893,664702,668565,671724,674005,675292,672620,665435,653176,637402,617841,594962,563544,508940,426964,325170,222594,126528,54092,13448,10750663
2090,644354,651876,658737,663468,666924,670045,671703,671569,667456,658692,643813,624059,598577,566399,521165,448587,347497,232470,130668,55498,16334,10809891
2095,634067,642617,650799,657577,661934,665379,667899,668177,666644,661007,649692,630945,605411,570838,525104,461334,367652,250875,137923,58282,17701,10851857
2100,623617,632473,641615,649712,656150,660522,663391,664565,663497,660500,652402,637330,612957,578463,530571,466522,380427,268141,150953,62493,19093,10875394
