year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
2020,0.007267583,0.000968637,0.00066431,0.00104117,0.001381347,0.001519778,0.001729722,0.002312695,0.002992371,0.003874284,0.005766612,0.008815286,0.01408261,0.021391168,0.036566195,0.056678677,0.083136824,0.133954392,0.20146283,0.379487179
2025,0.006566221,0.000887565,0.000603471,0.00095489,0.001311965,0.001466362,0.001687497,0.002057182,0.002825455,0.003902962,0.005520695,0.008147278,0.013080885,0.020769348,0.032685272,0.054817806,0.085288918,0.125713366,0.198084621,0.364621338
2030,0.005968924,0.000825406,0.000555433,0.000876646,0.001215746,0.001405988,0.001634152,0.002014127,0.002528125,0.003704622,0.005565696,0.007774921,0.012065953,0.019357836,0.031729679,0.049185556,0.082363691,0.129808278,0.187732232,0.365252954
2035,0.005425045,0.000768211,0.000519826,0.000817032,0.001130142,0.00131832,0.00157888,0.001962055,0.002494677,0.003338214,0.005314743,0.007857468,0.011481056,0.017925671,0.029810201,0.048044302,0.074760176,0.125555924,0.196041189,0.355836504
2040,0.004941333,0.00071091,0.000486832,0.000773934,0.001063756,0.001234018,0.001487797,0.00190206,0.002440835,0.003303748,0.004793176,0.007518346,0.011560456,0.016999065,0.027630021,0.045333017,0.073450021,0.114979975,0.188826327,0.374057718
2045,0.004510602,0.000655768,0.000453802,0.000733135,0.001016661,0.001167704,0.00139738,0.001796088,0.002374668,0.003236189,0.004743801,0.006777678,0.011072079,0.01711148,0.026123701,0.042119702,0.06965447,0.113576134,0.174484645,0.358387048
2050,0.00414503,0.000603638,0.000421987,0.000691774,0.000971559,0.00112132,0.001325533,0.001690154,0.002252237,0.003151682,0.004649987,0.006704152,0.009965956,0.01646226,0.02631157,0.039842066,0.065054775,0.108337828,0.173333095,0.340121185
2055,0.003832961,0.000557382,0.000392124,0.00065155,0.000923811,0.001075598,0.001274421,0.001604651,0.002126525,0.002990643,0.004530709,0.006565707,0.009839287,0.014832095,0.025409527,0.040231576,0.061751719,0.101589351,0.165946335,0.345301398
2060,0.003567176,0.000516275,0.000365822,0.000613313,0.000876218,0.001026139,0.001223619,0.001542701,0.002025528,0.0028263,0.004303407,0.006395128,0.009643143,0.014675979,0.02290561,0.039086867,0.062721398,0.096468732,0.156201084,0.335163428
2065,0.003325493,0.000478925,0.000341884,0.000578901,0.000830344,0.000975601,0.001167507,0.001480127,0.001952748,0.002693217,0.004070932,0.006066485,0.009404565,0.014426494,0.022674147,0.035275465,0.061343442,0.098277701,0.148414712,0.323443577
2070,0.003109974,0.000445073,0.000320981,0.000548628,0.000788839,0.000925755,0.001110302,0.001411382,0.001878652,0.002596655,0.003884153,0.005733082,0.008938835,0.014116198,0.022331841,0.034964894,0.055479143,0.096754262,0.151695437,0.316257022
2075,0.002912988,0.000413287,0.000301391,0.000521478,0.000751494,0.000879916,0.001052841,0.001340336,0.001795287,0.002497242,0.003749563,0.005462976,0.008461618,0.013460388,0.021909415,0.034536346,0.055130928,0.087524646,0.150145661,0.326732825
2080,0.002731312,0.000384118,0.000283037,0.000495636,0.000717941,0.000838355,0.001000096,0.00126947,0.001709508,0.002387542,0.003613784,0.005268045,0.008075684,0.012789501,0.020951203,0.034037476,0.054630105,0.086936083,0.135841871,0.322991848
2085,0.002570033,0.000356118,0.000265683,0.000470859,0.000684805,0.000799401,0.0009507,0.001202759,0.001621796,0.002272282,0.003459355,0.005065705,0.007791086,0.012236489,0.019938303,0.032665517,0.054027124,0.086155961,0.134669006,0.300195962
2090,0.002427858,0.000331351,0.000249265,0.000447346,0.000652848,0.000761143,0.000904269,0.001139719,0.001538678,0.002154269,0.00329692,0.004838645,0.007501123,0.011839357,0.019106041,0.03118637,0.052010809,0.085419194,0.133357823,0.307308371
2095,0.002296603,0.000308426,0.000233866,0.000423981,0.000620908,0.000723497,0.000858214,0.001080253,0.00145985,0.002042641,0.00313133,0.004601352,0.00717496,0.011435819,0.018521664,0.029975246,0.049828642,0.082512008,0.132824837,0.307302426
2100,0.002335087,0.000313373,0.000237214,0.000429113,0.000626381,0.000728818,0.000864045,0.001086124,0.001466774,0.002044209,0.003118323,0.004555254,0.007086631,0.011285078,0.018330817,0.029641903,0.048155362,0.077198936,0.121359628,0.286595299
