year,capital
1965,50.73775577
1966,52.90645933
1967,55.17929719
1968,57.49284176
1969,59.93756428
1970,62.50873728
1971,65.12830316
1972,67.89712894
1973,70.86565959
1974,74.09928755
1975,77.18109947
1976,80.22834076
1977,83.50275197
1978,86.98708997
1979,90.73016493
1980,94.56355756
1981,98.40239228
1982,102.124662
1983,105.52341
1984,108.7779754
1985,112.1861445
1986,115.7233693
1987,119.3964367
1988,123.2338997
1989,127.4074933
1990,131.7724671
1991,136.6926424
1992,141.3037445
1993,145.6051415
1994,149.7894441
1995,154.2060263
1996,158.8564843
1997,163.9670616
1998,169.357435
1999,174.7978288
2000,180.3230074
2001,186.2796664
2002,192.0593154
2003,197.6223708
2004,203.6820072
2005,210.6733096
2006,218.6159807
2007,227.4997392
2008,237.3219196
2009,247.3105734
2010,256.4422312
2011,266.5696755
2012,277.4528003
2013,289.1040005
2014,301.1766588
2015,313.3987228
2016,326.2653992
2017,339.3582859
2018,352.5662773
2019,365.8771493
2020,376.6387346
