,year,capital (trill 2011)
1965,1965,43.81526132440718
1966,1966,45.68807402021398
1967,1967,47.65081327093843
1968,1968,49.64870534184804
1969,1969,51.759877864469445
1970,1970,53.980248386344456
1971,1971,56.2424092127334
1972,1972,58.63346540025818
1973,1973,61.19697938427131
1974,1974,63.989421655475645
1975,1975,66.65076117607879
1976,1976,69.28224677204649
1977,1977,72.10990796086313
1978,1978,75.11885420788536
1979,1979,78.3512361897853
1980,1980,81.6616131923038
1981,1981,84.97668978648942
1982,1982,88.191105087334
1983,1983,91.12613898585438
1984,1984,93.9366621137761
1985,1985,96.87983170635655
1986,1986,99.93444904467204
1987,1987,103.10637507770315
1988,1988,106.42026701797836
1989,1989,110.02442911903368
1990,1990,113.79386012069232
1991,1991,118.04274267279213
1992,1992,122.02472096745032
1993,1993,125.73924935204424
1994,1994,129.35265927578126
1995,1995,133.16665737986858
1996,1996,137.18262204967942
1997,1997,141.59592876605865
1998,1998,146.25085717070752
1999,1999,150.94898131342214
2000,2000,155.72032253693882
2001,2001,160.86427434358836
2002,2002,165.85536679806256
2003,2003,170.6594169962719
2004,2004,175.89229627446556
2005,2005,181.92972815405525
2006,2006,188.78872705256305
2007,2007,196.46041435329266
2008,2008,204.94248845846886
2009,2009,213.56832273658952
2010,2010,221.4540868430239
2011,2011,230.19977556586625
2012,2012,239.59804225273226
2013,2013,249.65959053232402
2014,2014,260.0850945684249
2015,2015,270.639619911385
2016,2016,281.7508088154298
2017,2017,293.05734464971846
