,Year,Coal (TWh; substituted energy),Solar (TWh; substituted energy),Oil (TWh; substituted energy),Gas (TWh; substituted energy),Traditional bimass (TWh; substituted energy),Other renewables (TWh; substituted energy),Hydropower (TWh; substituted energy),Nuclear (TWh; substituted energy),Wind (TWh; substituted energy),Biofuels (TWh; substituted energy),Energy
1965,1965,16140,0,18109,6303,9162,50,2564,71,0,0,52399
1966,1966,16324,0,19496,6869,9218,55,2733,96,0,0,54791
1967,1967,16061,0,20891,7375,9274,56,2794,114,0,0,56565
1968,1968,16301,0,22675,8044,9331,61,2942,145,0,0,59499
1969,1969,16799,0,24577,8833,9387,65,3116,172,0,0,62949
1970,1970,17059,0,26708,9614,9444,71,3263,219,0,0,66378
1971,1971,16966,0,28205,10292,9499,77,3409,305,0,0,68753
1972,1972,17154,0,30378,10861,9553,83,3568,423,0,0,72020
1973,1973,17668,0,32746,11378,9608,89,3619,566,0,0,75674
1974,1974,17682,0,32272,11656,9663,94,3976,741,0,0,76084
1975,1975,18025,0,31948,11661,9718,96,4025,1027,0,0,76500
1976,1976,18688,0,34030,12356,9774,107,4009,1202,0,0,80166
1977,1977,19241,0,35215,12761,9830,113,4144,1496,0,0,82800
1978,1978,19458,0,36426,13294,9886,119,4484,1738,0,0,85405
1979,1979,20364,0,37024,14119,9943,128,4709,1808,0,0,88095
1980,1980,20858,0,35577,14239,10000,137,4810,1978,0,0,87599
1981,1981,21150,0,34296,14394,10106,148,4914,2335,0,0,87343
1982,1982,21384,0,33198,14469,10213,170,5003,2534,0,0,86971
1983,1983,22045,0,32969,14703,10321,189,5216,2872,0,0,88315
1984,1984,23000,0,33739,15903,10430,211,5393,3485,0,0,92161
1985,1985,23986,0,33789,16261,10541,216,5499,4136,0,0,94428
1986,1986,24256,0,34803,16419,10653,238,5574,4430,0,0,96373
1987,1987,25210,0,35499,17281,10765,255,5649,4819,1,0,99479
1988,1988,25965,0,36703,18089,10879,262,5830,5253,1,0,102982
1989,1989,26213,1,37300,18869,10995,290,5799,5403,7,0,104877
1990,1990,25895,1,37691,19483,11111,325,5997,5557,10,91,106161
1991,1991,25643,1,37691,19975,11243,339,6137,5823,11,102,106965
1992,1992,25550,1,38344,20067,11376,364,6136,5867,13,98,107816
1993,1993,25675,2,38099,20269,11511,376,6503,6069,16,100,108620
1994,1994,25774,2,38935,20394,11647,390,6547,6183,20,111,110003
1995,1995,25954,2,39445,21108,11785,407,6905,6451,23,115,112195
1996,1996,26572,2,40380,22164,11925,418,7001,6686,26,115,115289
1997,1997,26527,2,41413,22033,12066,448,7128,6640,33,132,116422
1998,1998,26360,2,41624,22439,12209,469,7186,6754,44,126,117213
1999,1999,26522,3,42371,23075,12414,493,7238,7012,59,122,119309
2000,2000,27417,3,42897,24000,12500,517,7367,7169,87,116,122073
2001,2001,27853,4,43278,24331,12500,530,7131,7324,106,127,123184
2002,2002,28945,5,43639,25053,12470,566,7216,7393,143,149,125579
2003,2003,31497,6,44610,25753,12329,594,7159,7197,171,185,129501
2004,2004,33664,8,46256,26736,12160,637,7636,7476,230,209,135012
2005,2005,36171,11,46824,27464,12076,685,7845,7448,280,246,139050
2006,2006,38071,15,47367,28175,11993,726,8093,7493,355,313,142601
2007,2007,40224,21,47958,29325,11911,783,8179,7295,454,424,146574
2008,2008,40770,33,47566,30025,11829,833,8599,7227,582,574,148038
2009,2009,40149,55,46654,29411,11747,891,8533,7081,724,636,145881
2010,2010,41997,88,48087,31606,11667,990,8958,7219,903,734,152249
2011,2011,44018,169,48550,32372,11553,1033,9073,6874,1142,775,155559
2012,2012,44185,260,49157,33219,11441,1110,9401,6364,1367,789,157293
2013,2013,44993,356,49689,33767,11330,1188,9765,6384,1628,857,159957
2014,2014,44954,504,50014,33994,11220,1275,9910,6467,1798,933,161069
2015,2015,43844,650,50892,34781,11111,1362,9827,6516,2104,937,162024
2016,2016,43196,825,51920,35589,11111,1378,10092,6576,2424,970,164081
2017,2017,43360,1117,52568,36586,11111,1457,10165,6596,2852,1012,166824
2018,2018,44109,1448,53181,38517,11111,1529,10368,6711,3157,1109,171240
2019,2019,43849,1793,53620,39292,11111,1614,10455,6923,3540,1143,173340
