year,GDP
1960,1.13604E+13
1961,1.18488E+13
1962,1.25069E+13
1963,1.31761E+13
1964,1.40607E+13
1965,1.48368E+13
1966,1.56926E+13
1967,1.63966E+13
1968,1.74318E+13
1969,1.84975E+13
1970,1.92115E+13
1971,2.00455E+13
1972,2.11929E+13
1973,2.25716E+13
1974,2.30221E+13
1975,2.31609E+13
1976,2.43814E+13
1977,2.53399E+13
1978,2.63262E+13
1979,2.74128E+13
1980,2.79345E+13
1981,2.84729E+13
1982,2.85936E+13
1983,2.9283E+13
1984,3.06021E+13
1985,3.17377E+13
1986,3.2815E+13
1987,3.40318E+13
1988,3.56037E+13
1989,3.6912E+13
1990,3.7986E+13
1991,3.8525E+13
1992,3.92045E+13
1993,3.98048E+13
1994,4.09994E+13
1995,4.22444E+13
1996,4.36741E+13
1997,4.51879E+13
1998,4.63435E+13
1999,4.78493E+13
2000,4.9949E+13
2001,5.09284E+13
2002,5.20398E+13
2003,5.35833E+13
2004,5.59455E+13
2005,5.81363E+13
2006,6.06817E+13
2007,6.33044E+13
2008,6.4477E+13
2009,6.33979E+13
2010,6.61259E+13
2011,6.82008E+13
2012,6.99184E+13
2013,7.17825E+13
2014,7.38362E+13
2015,7.59582E+13
2016,7.79375E+13
2017,8.05084E+13
2018,8.2905E+13
2019,8.48654E+13
