year,GDP
1960,1.45E+13
1961,1.52E+13
1962,1.60E+13
1963,1.69E+13
1964,1.80E+13
1965,1.90E+13
1966,2.01E+13
1967,2.10E+13
1968,2.23E+13
1969,2.37E+13
1970,2.45E+13
1971,2.56E+13
1972,2.71E+13
1973,2.88E+13
1974,2.94E+13
1975,2.96E+13
1976,3.12E+13
1977,3.24E+13
1978,3.37E+13
1979,3.51E+13
1980,3.59E+13
1981,3.65E+13
1982,3.66E+13
1983,3.75E+13
1984,3.91E+13
1985,4.05E+13
1986,4.19E+13
1987,4.35E+13
1988,4.54E+13
1989,4.71E+13
1990,4.90E+13
1991,5.02E+13
1992,5.30E+13
1993,5.69E+13
1994,5.86E+13
1995,6.07E+13
1996,6.31E+13
1997,6.56E+13
1998,6.74E+13
1999,6.97E+13
2000,7.31E+13
2001,7.48E+13
2002,7.70E+13
2003,8.01E+13
2004,8.43E+13
2005,8.84E+13
2006,9.31E+13
2007,9.81E+13
2008,1.01E+14
2009,1.01E+14
2010,1.06E+14
2011,1.10E+14
2012,1.14E+14
2013,1.17E+14
2014,1.19E+14
2015,1.21E+14
2016,1.24E+14
2017,1.28E+14
2018,1.33E+14
2019,1.36E+14
2020,1.30E+14
,
