year,workforce
2020,3425.938875
2021,3500.073304
2022,3498.374164
2023,3572.807398
2024,3634.067847
2025,3682.134104
2026,3730.225254
2027,3771.925584
2028,3820.740773
2029,3862.846025
2030,3904.400557
2031,3944.865494
2032,3984.216864
2033,4020.014274
2034,4046.594322
2035,4071.563876
2036,4095.42749
2037,4118.752663
2038,4141.124867
2039,4161.939224
2040,4181.531712
2041,4200.2798
2042,4218.615013
2043,4236.44822
2044,4253.386812
2045,4269.428888
2046,4284.583903
2047,4298.867657
2048,4312.353189
2049,4324.92376
2050,4336.328474
2051,4346.315896
2052,4354.637499
2053,4360.832961
2054,4364.948105
2055,4367.509202
2056,4369.024046
2057,4369.99083
2058,4369.823662
2059,4368.081793
2060,4365.470776
2061,4362.678301
2062,4360.39571
2063,4358.478995
2064,4356.218645
2065,4353.4749
2066,4350.116317
2067,4346.007151
2068,4341.064603
2069,4335.266277
2070,4328.571644
2071,4320.954245
2072,4312.39407
2073,4302.842274
2074,4292.271088
2075,4280.670226
2076,4268.017977
2077,4254.316559
2078,4239.452698
2079,4223.397799
2080,4206.303434
2081,4188.314276
2082,4169.591932
2083,4150.03012
2084,4129.52807
2085,4108.284103
2086,4086.492543
2087,4063.930152
2088,4042.190147
2089,4019.979396
2090,3997.349352
2091,3974.402071
2092,3951.180144
2093,3927.695002
2094,3904.032752
2095,3880.283138
2096,3856.484219
2097,3832.624404
2098,3808.664937
2099,3784.602016
2100,3760.476284
