Year,Energy
1965,37403.15666
1966,39110.60051
1967,40376.90712
1968,42471.23834
1969,44933.89775
1970,47381.56706
1971,49076.87608
1972,51422.24752
1973,53916.43576
1974,53845.00958
1975,54352.53743
1976,56745.49866
1977,58741.54083
1978,60865.82143
1979,62674.41269
1980,62104.63489
1981,61728.04461
1982,61083.37251
1983,61650.19772
1984,63976.84836
1985,64962.80762
1986,66467.8529
1987,68539.63264
1988,70838.66894
1989,71315.33116
1990,72526.80707
1991,73302.08831
1992,73051.9614
1993,73519.60491
1994,73894.31031
1995,75634.46561
1996,76910.83826
1997,77889.93186
1998,78076.6844
1999,79574.82467
2000,81456.68213
2001,81875.3397
2002,83246.8183
2003,85819.25771
2004,89721.92823
2005,92498.38865
2006,94936.48385
2007,97528.69394
2008,98302.82374
2009,97030.99078
2010,102360.7597
2011,103666.6253
2012,104882.4778
2013,106895.6761
2014,108238.9089
2015,109412.2944
2016,110603.0962
2017,112812.9508
2018,115146.1288
2019,116103.6348
2020,110878.9712
