,years,pib
1960,1960,1369443925011.89
1961,1961,1425115081577.84
1962,1962,1530068789423.03
1963,1963,1648304927596.87
1964,1964,1805673902285.75
1965,1965,1966277080224.86
1966,1966,2133345298195.83
1967,1967,2270951628945.99
1968,1968,2451449172889.88
1969,1969,2704652070727.44
1970,1970,2961058584800.38
1971,1971,3273349657869.52
1972,1972,3777608298767.36
1973,1973,4609187412816.62
1974,1974,5315975951491.43
1975,1975,5920346810454.44
1976,1976,6438212557515.46
1977,1977,7277590659724.76
1978,1978,8584658502250.43
1979,1979,9971331091928.26
1980,1980,11227787361930.0
1981,1981,11624037160585.5
1982,1982,11514725665438.4
1983,1983,11747282629212.4
1984,1984,12180064946161.3
1985,1985,12793526857410.8
1986,1986,15118751369432.8
1987,1987,17201254955042.3
1988,1988,19244410731051.8
1989,1989,20087689311360.4
1990,1990,22626736590326.0
1991,1991,23966885541451.1
1992,1992,25453189198265.2
1993,1993,25858210431828.0
1994,1994,27771192160987.4
1995,1995,30887281364940.8
1996,1996,31573213341361.0
1997,1997,31458340846918.5
1998,1998,31393737903662.7
1999,1999,32563160743067.7
2000,2000,33623637910868.8
2001,2001,33430841993024.3
2002,2002,34712451850985.3
2003,2003,38948207693351.2
2004,2004,43874597658831.1
2005,2005,47526792786394.1
2006,2006,51512231538197.9
2007,2007,58043560380507.8
2008,2008,63690177847399.5
2009,2009,60410286580323.5
2010,2010,66125919193271.1
2011,2011,73460345663712.1
2012,2012,75161778950115.1
2013,2013,77316336530735.1
2014,2014,79453254441374.8
2015,2015,75217722628911.6
2016,2016,76368999871236.7
2017,2017,81306030232472.9
2018,2018,86439423191635.8
2019,2019,87798525859220.9
