,year,population,,
1965,1965,3339.583597,,
1966,1966,3407.92263,,
1967,1967,3478.769962,,
1968,1968,3551.599127,,
1969,1969,3625.680627,,
1970,1970,3700.437046,,
1971,1971,3775.759617,,
1972,1972,3851.650245,,
1973,1973,3927.780238,,
1974,1974,4003.794172,,
1975,1975,4079.480606,,
1976,1976,4154.666864,,
1977,1977,4229.50606,,
1978,1978,4304.533501,,
1979,1979,4380.5061,,
1980,1980,4458.003514,,
1981,1981,4536.996762,,
1982,1982,4617.386542,,
1983,1983,4699.569304,,
1984,1984,4784.011621,,
1985,1985,4870.92174,,
1986,1986,4960.567912,,
1987,1987,5052.522147,,
1988,1988,5145.426008,,
1989,1989,5237.441558,,
1990,1990,5327.231061,,
1991,1991,5414.289444,,
1992,1992,5498.919809,,
1993,1993,5581.597546,,
1994,1994,5663.150427,,
1995,1995,5744.212979,,
1996,1996,5824.891951,,
1997,1997,5905.045788,,
1998,1998,5984.793942,,
1999,1999,6064.239055,,
2000,2000,6143.493823,,
2001,2001,6222.626606,,
2002,2002,6301.773188,,
2003,2003,6381.185114,,
2004,2004,6461.159389,,
2005,2005,6541.907027,,
2006,2006,6623.517833,,
2007,2007,6705.94661,,
2008,2008,6789.088686,,
2009,2009,6872.767093,,
2010,2010,6956.823603,,
2011,2011,7041.194301,,
2012,2012,7125.828059,,
2013,2013,7210.581976,,
2014,2014,7295.290765,,
2015,2015,7379.797139,,
2016,2016,7464.022049,,
2017,2017,7547.858925,,
2018,2018,7631.09104,,
2019,2019,7713.4681,,
2020,2020,7794.798739,,
