year,workforce
1965,1390.802405
1966,1429.536445
1967,1468.270485
1968,1507.004525
1969,1545.738565
1970,1584.472605
1971,1623.206645
1972,1661.940685
1973,1700.674725
1974,1739.408765
1975,1778.142804
1976,1816.876844
1977,1855.610884
1978,1894.344924
1979,1933.078964
1980,1971.813004
1981,2010.547044
1982,2049.281084
1983,2088.015124
1984,2126.749164
1985,2165.483204
1986,2204.217244
1987,2242.951284
1988,2281.685323
1989,2320.419363
1990,2325.0637170
1991,2365.8326730
1992,2408.8377280
1993,2449.0843220
1994,2497.0862300
1995,2539.4577370
1996,2583.4172550
1997,2627.1638000
1998,2668.2426300
1999,2715.8389770
2000,2761.8005810
2001,2798.1755120
2002,2839.8240320
2003,2884.5168530
2004,2932.5933120
2005,2978.2842240
2006,3014.9066280
2007,3055.1846620
2008,3090.7042510
2009,3123.7784860
2010,3153.2366910
2011,3185.0178950
2012,3221.0080900
2013,3254.7255440
2014,3288.2321850
2015,3325.3812750
2016,3360.3200050
2017,3398.2717290
2018,3434.5664060
2019,3473.5980430
2020,3390.9325930
