years,investment
2020,4.287042508038296
2021,4.092010489096105
2022,4.106497388492742
2023,4.2520133470010215
2024,4.1274904591498185
2025,4.053003016574627
2026,4.0248412061579
2027,3.9360057855354635
2028,3.932736968583217
2029,4.058832327344524
2030,4.517952991034672
2031,4.573028982793133
2032,4.589229186141427
2033,4.591962809228093
2034,4.51342430881779
2035,4.511804353201806
2036,4.469465738025841
2037,4.473527394965132
2038,4.097374238676821
2039,3.4395120669227017
2040,2.7897149197972104
2041,2.1366889909814706
2042,1.753063039895497
2043,1.7334559849059143
2044,1.7026243204025133
2045,1.7478943594128027
2046,1.7118085915812689
2047,1.7600609196306523
2048,1.6439238574564208
2049,1.3356470596450138
2050,1.0641067082613518
2051,0.8941810068186061
2052,0.8607973784555694
2053,0.8375297551257433
2054,0.8013409056691048
2055,0.7558550223675546
2056,0.7090484432642266
2057,0.6800639335217072
2058,0.6569077075265544
2059,0.6285620481272353
2060,0.5814394369952057
2061,0.5105633167974604
2062,0.47526821802615077
2063,0.4713339185652432
2064,0.46370232239826537
2065,0.38922849711143687
2066,0.11820042427914117
2067,0.1394497150932628
2068,0.6311527052862378
2069,1.7014062540887882
2070,2.773173658421589
2071,3.8372197121514344
2072,4.328843883915436
2073,4.286508370823432
2074,4.16203702223683
2075,4.083541041776898
2076,3.9653336673128265
2077,3.9393505521035
2078,3.911320296017487
2079,4.0925698059494415
2080,4.514434979930121
2081,4.600048292055548
2082,4.5607321283942985
2083,4.534375824961212
2084,4.5619828823621456
2085,4.5130557209733215
2086,4.4797495195284736
2087,4.453353967721308
2088,4.061259583051562
2089,3.4465309808297593
2090,2.82372303416157
2091,2.2041743903706794
2092,1.7312128361627415
2093,1.6874516075295058
2094,1.6734548518087073
2095,1.7408835270643375
2096,1.7537287024209585
2097,1.7518613045828342
2098,1.750155391498309
2099,1.2466253269481158
2100,0.381
