param,death_rate_upper,death_rate_lower,death_rate_delta,death_rate_phi,death_rate_nu
0-4,3.249639E-01,5.9212016E-03,2.4281198E-04,4.03360E+03,4.999999380
5-9,3.690869E-02,1.0724382E-03,3.4327099E-04,4.03375E+03,4.910038140
10-14,5.497484E-02,7.8492116E-04,4.3837853E-04,4.03360E+03,12.534509700
15-19,8.026543E-02,1.1900921E-03,4.1642393E-04,4.03360E+03,17.242276900
20-24,5.874986E-02,1.5602810E-03,4.0299716E-04,4.03360E+03,10.631570200
25-29,5.241760E-02,1.7655928E-03,4.2759138E-04,4.03360E+03,8.175456600
30-34,3.255922E-02,2.0946477E-03,4.8617182E-04,4.03360E+03,3.864537780
35-39,4.447619E-02,2.6198138E-03,5.0709184E-04,4.03374E+03,4.451109840
40-44,1.350831E-01,3.2189366E-03,4.3190920E-04,4.03360E+03,12.143000900
45-49,1.010102E-01,4.2077921E-03,3.6335030E-04,4.03360E+03,7.558685110
50-54,2.092804E-01,6.0183713E-03,2.9679297E-04,4.03360E+03,13.386964100
55-59,1.325517E-01,8.9792392E-03,2.9023236E-04,4.03360E+03,5.870578610
60-64,1.813847E-01,1.3645759E-02,2.6315441E-04,4.03361E+03,5.383806710
65-69,2.453018E-01,2.1294656E-02,2.6354327E-04,4.03360E+03,5.016907510
70-74,3.451486E-01,3.3753238E-02,2.3983227E-04,4.03360E+03,5.017162080
75-79,4.939911E-01,5.0726414E-02,2.1357103E-04,4.03360E+03,4.937603030
80-84,7.228436E-01,6.9594613E-02,1.6218713E-04,4.03360E+03,4.834214700
85-89,8.500000E-01,1.0666863E-01,1.4645955E-04,4.03360E+03,4.398699660
90-94,8.500000E-01,1.6122818E-01,1.3521915E-04,4.03360E+03,3.793841340
95-99,8.149001E-01,2.8133478E-01,3.9351011E-04,4.03360E+03,4.862327660
100+,8.149001E-01,2.8133478E-01,3.9351011E-04,4.03360E+03,4.862327660
