param,death_rate_upper,death_rate_lower,death_rate_delta,death_rate_phi,death_rate_nu
0-4,3.293667E-01,4.472889E-03,2.254450E-04,4.033600E+03,4.999162E+00
5-9,3.570327E-02,9.070850E-04,3.006317E-04,4.033754E+03,4.910084E+00
10-14,5.124066E-02,6.919444E-04,3.726728E-04,4.033600E+03,1.253452E+01
15-19,7.552565E-02,1.074672E-03,3.503879E-04,4.033600E+03,1.724230E+01
20-24,5.552082E-02,1.416341E-03,3.377229E-04,4.033600E+03,1.063160E+01
25-29,4.814697E-02,1.571841E-03,3.405755E-04,4.033600E+03,8.175489E+00
30-34,2.912645E-02,1.834041E-03,3.734678E-04,4.033600E+03,3.864565E+00
35-39,4.154924E-02,2.428933E-03,4.324108E-04,4.033736E+03,4.451171E+00
40-44,1.288630E-01,3.035247E-03,3.822859E-04,4.033600E+03,1.214310E+01
45-49,9.683542E-02,3.826219E-03,3.044983E-04,4.033600E+03,7.558781E+00
50-54,2.079048E-01,5.406235E-03,2.479606E-04,4.033600E+03,1.338706E+01
55-59,1.319242E-01,8.227679E-03,2.477299E-04,4.033600E+03,5.870598E+00
60-64,1.818319E-01,1.270899E-02,2.322521E-04,4.033613E+03,5.383806E+00
65-69,2.479458E-01,1.859506E-02,2.069634E-04,4.033600E+03,5.016747E+00
70-74,3.457752E-01,3.122128E-02,2.029463E-04,4.033600E+03,5.017130E+00
75-79,4.939911E-01,5.072642E-02,2.135711E-04,4.033600E+03,4.937603E+00
80-84,7.228436E-01,6.959461E-02,1.621871E-04,4.033600E+03,4.834215E+00
85-89,8.540932E-01,1.057301E-01,1.442215E-04,4.033600E+03,4.396328E+00
90-94,8.903337E-01,1.512489E-01,1.176111E-04,4.033600E+03,3.788487E+00
95-99,1.5,2.799656E-01,4.889235E-04,4.033600E+03,4.862572E+00
100+,1.5,2.799656E-01,4.889235E-04,4.033600E+03,4.862572E+00
