,years,gross_output,pc_consumption
0,2020,129605.83601000001,16836.619142166117
1,2021,132068.34689419,16976.458484184197
2,2022,134577.64548517962,17119.344870615867
3,2023,137134.62074939802,17265.296259365743
4,2024,139740.17854363658,17414.331982347685
5,2025,142395.24193596566,17566.472715878615
6,2026,145100.751532749,17721.740453588347
7,2027,147857.66581187124,17880.158481685656
8,2028,150666.96146229678,18041.751356433306
9,2029,153529.63373008042,18206.544883696733
10,2030,156446.69677095194,18374.56610044152
11,2031,159419.18400960002,18561.723163790302
12,2032,162448.14850578242,18752.1896280177
13,2033,165534.66332739228,18946.00389095667
14,2034,168679.82193061273,19143.205369315325
15,2035,171884.73854729434,19343.834499679666
16,2036,175150.54857969293,19547.932740287808
17,2037,178478.40900270708,19755.542573546867
18,2038,181869.4987737585,19966.707509265714
19,2039,185325.0192504599,20181.472088578874
20,2040,188846.19461621862,20399.881888538745
21,2041,189790.4255892997,20348.0358227659
22,2042,190739.37771724619,20297.464464183413
23,2043,191693.0746058324,20248.142034432996
24,2044,192651.53997886155,20200.04352425665
25,2045,193614.79767875583,20153.144665542524
26,2046,194582.8716671496,20107.4219045841
27,2047,195555.78602548531,20062.852376491795
28,2048,196533.56495561273,20019.413880699532
29,2049,197516.23278039077,19977.084857511803
30,2050,198503.8139442927,19935.844365640336
31,2051,199496.33301401415,19912.090846199084
32,2052,200493.8146790842,19889.1205038422
33,2053,201496.2837524796,19866.921486487598
34,2054,202503.76517124198,19845.482240979767
35,2055,203516.28399709816,19824.791504163695
36,2056,204533.86541708364,19804.83829427914
37,2057,205556.53474416904,19785.61190266199
38,2058,206584.31741788986,19767.101885739994
39,2059,207617.2390049793,19749.298057310738
40,2060,208655.32520000415,19732.190481090413
41,2061,209698.60182600416,19729.536251289188
42,2062,210747.09483513416,19727.397294209444
43,2063,211800.83030930982,19725.768221298207
44,2064,212859.83446085633,19724.64376454435
45,2065,213924.13363316059,19724.018773521162
46,2066,214993.75430132638,19723.888212517617
47,2067,216068.72307283297,19724.247157755242
48,2068,217149.0666881971,19725.090794687683
49,2069,218234.81202163806,19726.414415380066
50,2070,219325.98608174623,19728.213415965496
51,2071,220422.61601215493,19735.248896851437
52,2072,221524.72909221568,19742.70833377217
53,2073,222632.35273767673,19750.588336305373
54,2074,223745.51450136508,19758.885587936264
55,2075,224864.24207387186,19767.596844441447
56,2076,225988.5632842412,19776.718932316875
57,2077,227118.50610066237,19786.248747248523
58,2078,228254.09863116566,19796.183252624374
59,2079,229395.36912432147,19806.519478086593
60,2080,230542.34596994307,19817.254518122416
61,2081,231695.05769979276,19830.95260391891
62,2082,232853.5329882917,19845.024935685255
63,2083,234017.80065323313,19859.469186349095
64,2084,235187.88965649926,19874.283080415207
65,2085,236363.82910478173,19889.464392939113
66,2086,237545.64825030562,19905.010948526855
67,2087,238733.3764915571,19920.920620360142
68,2088,239927.04337401487,19937.191329246194
69,2089,241126.67859088493,19953.821042691416
70,2090,242332.31198383932,19970.80777399845
71,2091,243543.97354375847,19990.62748752771
72,2092,244761.69341147723,20010.785065794873
73,2093,245985.5018785346,20031.278965666992
74,2094,247215.42938792723,20052.107680618934
75,2095,248451.50653486684,20073.26974007611
76,2096,249693.76406754114,20094.763708772967
77,2097,250942.2328878788,20116.588186126763
78,2098,252196.94405231817,20138.741805626185
79,2099,253457.92877257973,20161.22323423454
80,2100,254725.2184164426,20184.03117180691
