,years,gross_output,pc_consumption
0,2020,84894.92,11028.38791174787
1,2021,86507.92347999998,11119.986022750843
2,2022,88151.57402611997,11213.580020665178
3,2023,89826.45393261623,11309.18166834757
4,2024,91533.15655733594,11406.803628663602
5,2025,93272.28653192532,11506.45944509499
6,2026,95044.4599760319,11608.163523994892
7,2027,96850.3047155765,11711.93111838656
8,2028,98690.46050517244,11817.778313208968
9,2029,100565.57925477071,11925.722011920709
10,2030,102476.32526061134,12035.779924380378
11,2031,104423.37544056294,12158.372273687888
12,2032,106407.41957393363,12283.132359661333
13,2033,108429.16054583836,12410.085333798957
14,2034,110489.31459620928,12539.257014986586
15,2035,112588.61157353724,12670.673890154429
16,2036,114727.79519343445,12804.363115439255
17,2037,116907.62330210969,12940.352517832995
18,2038,119128.86814484975,13078.67059730029
19,2039,121392.31663960188,13219.346529348733
20,2040,123698.7706557543,13362.410168036873
21,2041,124317.26450903306,13328.449755901107
22,2042,124938.85083157821,13295.32430743889
23,2043,125563.54508573608,13263.016937209479
24,2044,126191.36281116476,13231.511263551196
25,2045,126822.31962522057,13200.7913902708
26,2046,127456.43122334666,13170.841889127618
27,2047,128093.71337946338,13141.647783072536
28,2048,128734.18194636068,13113.194530204197
29,2049,129377.85285609248,13085.468008406806
30,2050,130024.74212037292,13058.45450063607
31,2051,130674.86583097477,13042.895377723366
32,2052,131328.24016012964,13027.849254517852
33,2053,131984.88136093027,13013.308367622509
34,2054,132644.8057677349,12999.265149444376
35,2055,133308.02979657357,12985.712222347744
36,2056,133974.56994555643,12972.642393017206
37,2057,134644.4427952842,12960.048647021842
38,2058,135317.6650092606,12947.924143572245
39,2059,135994.2533343069,12936.26221046239
40,2060,136674.22460097843,12925.056339188923
41,2061,137357.5957239833,12923.317755236425
42,2062,138044.3837026032,12921.916687230856
43,2063,138734.6056211162,12920.849605541245
44,2064,139428.2786492218,12920.113059494393
45,2065,140125.4200424679,12919.70367543772
46,2066,140826.0471426802,12919.618154860158
47,2067,141530.1773783936,12919.853272569135
48,2068,142237.82826528556,12920.405874921727
49,2069,142949.01740661197,12921.272878108077
50,2070,143663.76249364502,12922.451266485341
51,2071,144382.08130611322,12927.059674604616
52,2072,145103.99171264376,12931.945784058682
53,2073,145829.51167120697,12937.107374039895
54,2074,146558.659229563,12942.542272151815
55,2075,147291.4525257108,12948.248353350582
56,2076,148027.90978833934,12954.223538915203
57,2077,148768.04933728103,12960.465795445802
58,2078,149511.88958396742,12966.973133888936
59,2079,150259.44903188726,12973.743608589239
60,2080,151010.74627704668,12980.775316366404
61,2081,151765.8000084319,12989.747889929813
62,2082,152524.62900847403,12998.965603547469
63,2083,153287.2521535164,13008.426932931374
64,2084,154053.68841428397,13018.130387577768
65,2085,154823.95685635536,13028.074510094848
66,2086,155598.07664063713,13038.25787554758
67,2087,156376.0670238403,13048.679090819162
68,2088,157157.94735895947,13059.336793988621
69,2089,157943.73709575424,13070.22965372409
70,2090,158733.455781233,13081.356368691317
71,2091,159527.12306013916,13094.338754718745
72,2092,160324.75867543984,13107.542450224037
73,2093,161126.38246881703,13120.966444418229
74,2094,161932.0143811611,13134.609750491358
75,2095,162741.6744530669,13148.471405181917
76,2096,163555.3828253322,13162.550468356676
77,2097,164373.15973945885,13176.84602260046
78,2098,165195.02553815613,13191.357172815713
79,2099,166021.0006658469,13206.08304583153
80,2100,166851.10566917612,13221.022790021923
