,gross_output,pc_consumption,years
0,42200.0,4280.627826800899,2020
1,41132.340000000004,4130.444938813935,2021
2,40091.69179800001,3986.557698113822,2022
3,39077.371995510606,3848.661275127171,2023
4,38088.71448402419,3716.5357293255643,2024
5,37125.07000757838,3589.9619367379546,2025
6,36185.80573638665,3468.6939787538013,2026
7,35270.30485125606,3352.461077424467,2027
8,34377.96613851929,3240.989198106525,2028
9,33508.20359521475,3134.056163673174,2029
10,32660.446044255816,3031.462828817323,2030
11,31834.136759336146,2932.9937882295594,2031
12,31028.73309932494,2838.451130416867,2032
13,30243.706151912025,2747.654308873223,2033
14,29478.540386268647,2660.416794776015,2034
15,28732.73331449605,2576.5665867610883,2035
16,28005.795161639304,2495.9501750620984,2036
17,27297.248544049828,2418.4219869980616,2037
18,26606.62815588537,2343.8466950020293,2038
19,25933.48046354147,2272.0959799547772,2039
20,25277.363407813868,2203.0402786046216,2040
21,24637.846113596177,2136.5671586303965,2041
22,24014.508606922194,2072.5662572284873,2042
23,23406.941539167066,2010.9418989468168,2043
24,22814.74591822614,1951.6042151218235,2044
25,22237.53284649502,1894.4587890018706,2045
26,21674.923265478697,1839.4167369364934,2046
27,21126.547706862086,1786.3879229370577,2047
28,20592.046049878474,1735.2853745261696,2048
29,20071.06728481655,1686.0304870490097,2049
30,19563.269282510686,1638.5494915503627,2050
31,19068.318569663174,1592.768908339641,2051
32,18585.89010985069,1548.6158540804302,2052
33,18115.667090071467,1506.018942991688,2053
34,17657.34071269266,1464.9126977997655,2054
35,17210.609992661535,1425.2357149835811,2055
36,16775.1815598472,1386.9290621610069,2056
37,16350.769466383066,1349.9329028186803,2057
38,15937.094998883575,1314.1896044250263,2058
39,15533.886495411822,1279.6458442472438,2059
40,15140.8791670779,1246.2503022004464,2060
41,14757.814924150833,1213.958173764485,2061
42,14384.442206569813,1182.7240799645497,2062
43,14020.515818743597,1152.5045544562313,2063
44,13665.796768529384,1123.2635626685299,2064
45,13320.052110285591,1094.9632653426293,2065
46,12983.054791895367,1067.568610618338,2066
47,12654.583505660416,1041.0461398122043,2067
48,12334.422542967206,1015.3616795796992,2068
49,12022.361652630138,990.4850109786116,2069
50,11718.195902818592,966.3883414697686,2070
51,11421.725546477282,943.043007281594,2071
52,11132.75589015141,920.4196500403829,2072
53,10851.097166130576,898.4936373511656,2073
54,10576.564407827473,877.2381658476701,2074
55,10308.97732830944,856.6276700255144,2075
56,10048.16020190321,836.6403355960016,2076
57,9793.94174879506,817.2516934691326,2077
58,9546.155022550543,798.4381866380378,2078
59,9304.637300480015,780.1781396421853,2079
60,9069.229976777871,762.4494234120608,2080
61,8839.77845836539,745.2326778705909,2081
62,8616.132063368746,728.5065483550804,2082
63,8398.143922165516,712.2501209016189,2083
64,8185.67088093473,696.4472155570334,2084
65,7978.573407647081,681.0808917949216,2085
66,7776.715500433609,666.1370298451744,2086
67,7579.964598272639,651.6012775451572,2087
68,7388.191493936343,637.4596200358376,2088
69,7201.270249139753,623.7004422812611,2089
70,7019.078111836518,610.3126666556126,2090
71,6841.495435607054,597.2869111276615,2091
72,6668.405601086195,584.61273389212,2092
73,6499.6949393787145,572.2798983676321,2093
74,6335.252657412433,560.2778736900866,2094
75,6174.970765179898,548.596518874916,2095
76,6018.744004820847,537.2259116016949,2096
77,5866.46978149888,526.1566685438665,2097
78,5718.048096026958,515.3799830641333,2098
79,5573.381479197477,504.8868169267553,2099
80,5432.374927773781,494.66432138905617,2100
