years,Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction
2020,16.54,9.99,68.03,1.53,3.92
2021,16.54,9.99,68.03,1.53,3.92
2022,16.54,9.99,68.03,1.53,3.92
2023,16.54,9.99,68.03,1.53,3.92
2024,16.54,9.99,68.03,1.53,3.92
2025,16.54,9.99,68.03,1.53,3.92
2026,16.54,9.99,68.03,1.53,3.92
2027,16.54,9.99,68.03,1.53,3.92
2028,16.54,9.99,68.03,1.53,3.92
2029,16.54,9.99,68.03,1.53,3.92
2030,16.54,9.99,68.03,1.53,3.92
2031,16.54,9.99,68.03,1.53,3.92
2032,16.54,9.99,68.03,1.53,3.92
2033,16.54,9.99,68.03,1.53,3.92
2034,16.54,9.99,68.03,1.53,3.92
2035,16.54,9.99,68.03,1.53,3.92
2036,16.54,9.99,68.03,1.53,3.92
2037,16.54,9.99,68.03,1.53,3.92
2038,16.54,9.99,68.03,1.53,3.92
2039,16.54,9.99,68.03,1.53,3.92
2040,16.54,9.99,68.03,1.53,3.92
2041,16.54,9.99,68.03,1.53,3.92
2042,16.54,9.99,68.03,1.53,3.92
2043,16.54,9.99,68.03,1.53,3.92
2044,16.54,9.99,68.03,1.53,3.92
2045,16.54,9.99,68.03,1.53,3.92
2046,16.54,9.99,68.03,1.53,3.92
2047,16.54,9.99,68.03,1.53,3.92
2048,16.54,9.99,68.03,1.53,3.92
2049,16.54,9.99,68.03,1.53,3.92
2050,16.54,9.99,68.03,1.53,3.92
2051,16.54,9.99,68.03,1.53,3.92
2052,16.54,9.99,68.03,1.53,3.92
2053,16.54,9.99,68.03,1.53,3.92
2054,16.54,9.99,68.03,1.53,3.92
2055,16.54,9.99,68.03,1.53,3.92
2056,16.54,9.99,68.03,1.53,3.92
2057,16.54,9.99,68.03,1.53,3.92
2058,16.54,9.99,68.03,1.53,3.92
2059,16.54,9.99,68.03,1.53,3.92
2060,16.54,9.99,68.03,1.53,3.92
2061,16.54,9.99,68.03,1.53,3.92
2062,16.54,9.99,68.03,1.53,3.92
2063,16.54,9.99,68.03,1.53,3.92
2064,16.54,9.99,68.03,1.53,3.92
2065,16.54,9.99,68.03,1.53,3.92
2066,16.54,9.99,68.03,1.53,3.92
2067,16.54,9.99,68.03,1.53,3.92
2068,16.54,9.99,68.03,1.53,3.92
2069,16.54,9.99,68.03,1.53,3.92
2070,16.54,9.99,68.03,1.53,3.92
2071,16.54,9.99,68.03,1.53,3.92
2072,16.54,9.99,68.03,1.53,3.92
2073,16.54,9.99,68.03,1.53,3.92
2074,16.54,9.99,68.03,1.53,3.92
2075,16.54,9.99,68.03,1.53,3.92
2076,16.54,9.99,68.03,1.53,3.92
2077,16.54,9.99,68.03,1.53,3.92
2078,16.54,9.99,68.03,1.53,3.92
2079,16.54,9.99,68.03,1.53,3.92
2080,16.54,9.99,68.03,1.53,3.92
2081,16.54,9.99,68.03,1.53,3.92
2082,16.54,9.99,68.03,1.53,3.92
2083,16.54,9.99,68.03,1.53,3.92
2084,16.54,9.99,68.03,1.53,3.92
2085,16.54,9.99,68.03,1.53,3.92
2086,16.54,9.99,68.03,1.53,3.92
2087,16.54,9.99,68.03,1.53,3.92
2088,16.54,9.99,68.03,1.53,3.92
2089,16.54,9.99,68.03,1.53,3.92
2090,16.54,9.99,68.03,1.53,3.92
2091,16.54,9.99,68.03,1.53,3.92
2092,16.54,9.99,68.03,1.53,3.92
2093,16.54,9.99,68.03,1.53,3.92
2094,16.54,9.99,68.03,1.53,3.92
2095,16.54,9.99,68.03,1.53,3.92
2096,16.54,9.99,68.03,1.53,3.92
2097,16.54,9.99,68.03,1.53,3.92
2098,16.54,9.99,68.03,1.53,3.92
2099,16.54,9.99,68.03,1.53,3.92
2100,16.54,9.99,68.03,1.53,3.92
