years,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2020,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,20.0,1.71,0.23,11.47,1.95,14.64,13.73,33.04,1.65,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
