,years,Services,Agriculture,Industry
0,2020,69.0,2.0,29.0
1,2021,69.0,2.0,29.0
2,2022,69.0,2.0,29.0
3,2023,69.0,2.0,29.0
4,2024,69.0,2.0,29.0
5,2025,69.0,2.0,29.0
6,2026,69.0,2.0,29.0
7,2027,69.0,2.0,29.0
8,2028,69.0,2.0,29.0
9,2029,69.0,2.0,29.0
10,2030,69.0,2.0,29.0
11,2031,69.0,2.0,29.0
12,2032,69.0,2.0,29.0
13,2033,69.0,2.0,29.0
14,2034,69.0,2.0,29.0
15,2035,69.0,2.0,29.0
16,2036,69.0,2.0,29.0
17,2037,69.0,2.0,29.0
18,2038,69.0,2.0,29.0
19,2039,69.0,2.0,29.0
20,2040,69.0,2.0,29.0
21,2041,69.0,2.0,29.0
22,2042,69.0,2.0,29.0
23,2043,69.0,2.0,29.0
24,2044,69.0,2.0,29.0
25,2045,69.0,2.0,29.0
26,2046,69.0,2.0,29.0
27,2047,69.0,2.0,29.0
28,2048,69.0,2.0,29.0
29,2049,69.0,2.0,29.0
30,2050,69.0,2.0,29.0
31,2051,69.0,2.0,29.0
32,2052,69.0,2.0,29.0
33,2053,69.0,2.0,29.0
34,2054,69.0,2.0,29.0
35,2055,69.0,2.0,29.0
36,2056,69.0,2.0,29.0
37,2057,69.0,2.0,29.0
38,2058,69.0,2.0,29.0
39,2059,69.0,2.0,29.0
40,2060,69.0,2.0,29.0
41,2061,69.0,2.0,29.0
42,2062,69.0,2.0,29.0
43,2063,69.0,2.0,29.0
44,2064,69.0,2.0,29.0
45,2065,69.0,2.0,29.0
46,2066,69.0,2.0,29.0
47,2067,69.0,2.0,29.0
48,2068,69.0,2.0,29.0
49,2069,69.0,2.0,29.0
50,2070,69.0,2.0,29.0
51,2071,69.0,2.0,29.0
52,2072,69.0,2.0,29.0
53,2073,69.0,2.0,29.0
54,2074,69.0,2.0,29.0
55,2075,69.0,2.0,29.0
56,2076,69.0,2.0,29.0
57,2077,69.0,2.0,29.0
58,2078,69.0,2.0,29.0
59,2079,69.0,2.0,29.0
60,2080,69.0,2.0,29.0
61,2081,69.0,2.0,29.0
62,2082,69.0,2.0,29.0
63,2083,69.0,2.0,29.0
64,2084,69.0,2.0,29.0
65,2085,69.0,2.0,29.0
66,2086,69.0,2.0,29.0
67,2087,69.0,2.0,29.0
68,2088,69.0,2.0,29.0
69,2089,69.0,2.0,29.0
70,2090,69.0,2.0,29.0
71,2091,69.0,2.0,29.0
72,2092,69.0,2.0,29.0
73,2093,69.0,2.0,29.0
74,2094,69.0,2.0,29.0
75,2095,69.0,2.0,29.0
76,2096,69.0,2.0,29.0
77,2097,69.0,2.0,29.0
78,2098,69.0,2.0,29.0
79,2099,69.0,2.0,29.0
80,2100,69.0,2.0,29.0
