years,energy_investment
2020,2915.528049653693
2021,3314.977619685554
2022,3500.992503836463
2023,3617.355633755426
2024,3717.0200802557547
2025,3801.1174835997217
2026,3870.789855042262
2027,3927.2001449283334
2028,3971.5284717360355
2029,4004.9582770277093
2030,4028.655245294269
2031,4043.740921176312
2032,4051.262416268243
2033,4052.159338213716
2034,4047.228972320795
2035,4037.090847022754
2036,4022.1521577422513
2037,4002.6875011456805
2038,3979.1732828876325
2039,3952.0939587426687
2040,3921.8714358011957
2041,3888.865036061131
2042,3853.3716303958336
2043,3815.625873830976
2044,3775.800499291599
2045,3474.993599288948
2046,3326.1671645361585
2047,3202.8103189191775
2048,3104.7950159784828
2049,3028.7669097475127
2050,2970.9301122564752
2051,2931.3979661835733
2052,2904.6312030465465
2053,2888.5971469772526
2054,2881.4086102105475
2055,2881.381688340289
2056,2887.039875478193
2057,2897.117354380651
2058,2910.5731386805824
2059,2926.615796839594
2060,2944.7384620732655
2061,2964.763412924492
2062,2986.820669554049
2063,3011.0946763948277
2064,3037.7579222286704
2065,3066.9715085665603
2066,3098.8857544178336
2067,3133.641918038374
2068,3171.377076295909
2069,3212.206533270246
2070,3262.3678317261883
2071,3318.6705186733852
2072,3380.6803614667724
2073,3447.8790401161946
2074,3519.7489142320933
2075,3596.5965077529677
2076,3677.5490857391883
2077,3762.0407017395223
2078,3849.4691053887145
2079,3939.1974515688976
2080,4030.548582905479
2081,4122.790569596578
2082,4215.140724751953
2083,4306.751937096035
2084,4396.705057291898
2085,4484.156971631453
2086,4568.875124556148
2087,4650.992366789887
2088,4730.92659661145
2089,4809.4129246938855
2090,4887.538938384596
2091,4966.787139387316
2092,5049.0902433879455
2093,5137.383503541272
2094,5237.566582238376
2095,5354.536120931273
2096,5494.70115701933
2097,5666.382678785613
2098,5880.576061479449
2099,6152.1017599415945
2100,6500.9511504090515
