,years,Services,Agriculture,Industry,Household
0,2020,64.79063,6.775773,28.4336,0.0
1,2021,64.79063,6.775773,28.4336,0.0
2,2022,64.79063,6.775773,28.4336,0.0
3,2023,64.79063,6.775773,28.4336,0.0
4,2024,64.79063,6.775773,28.4336,0.0
5,2025,64.79063,6.775773,28.4336,0.0
6,2026,64.79063,6.775773,28.4336,0.0
7,2027,64.79063,6.775773,28.4336,0.0
8,2028,64.79063,6.775773,28.4336,0.0
9,2029,64.79063,6.775773,28.4336,0.0
10,2030,64.79063,6.775773,28.4336,0.0
11,2031,64.79063,6.775773,28.4336,0.0
12,2032,64.79063,6.775773,28.4336,0.0
13,2033,64.79063,6.775773,28.4336,0.0
14,2034,64.79063,6.775773,28.4336,0.0
15,2035,64.79063,6.775773,28.4336,0.0
16,2036,64.79063,6.775773,28.4336,0.0
17,2037,64.79063,6.775773,28.4336,0.0
18,2038,64.79063,6.775773,28.4336,0.0
19,2039,64.79063,6.775773,28.4336,0.0
20,2040,64.79063,6.775773,28.4336,0.0
21,2041,64.79063,6.775773,28.4336,0.0
22,2042,64.79063,6.775773,28.4336,0.0
23,2043,64.79063,6.775773,28.4336,0.0
24,2044,64.79063,6.775773,28.4336,0.0
25,2045,64.79063,6.775773,28.4336,0.0
26,2046,64.79063,6.775773,28.4336,0.0
27,2047,64.79063,6.775773,28.4336,0.0
28,2048,64.79063,6.775773,28.4336,0.0
29,2049,64.79063,6.775773,28.4336,0.0
30,2050,64.79063,6.775773,28.4336,0.0
31,2051,64.79063,6.775773,28.4336,0.0
32,2052,64.79063,6.775773,28.4336,0.0
33,2053,64.79063,6.775773,28.4336,0.0
34,2054,64.79063,6.775773,28.4336,0.0
35,2055,64.79063,6.775773,28.4336,0.0
36,2056,64.79063,6.775773,28.4336,0.0
37,2057,64.79063,6.775773,28.4336,0.0
38,2058,64.79063,6.775773,28.4336,0.0
39,2059,64.79063,6.775773,28.4336,0.0
40,2060,64.79063,6.775773,28.4336,0.0
41,2061,64.79063,6.775773,28.4336,0.0
42,2062,64.79063,6.775773,28.4336,0.0
43,2063,64.79063,6.775773,28.4336,0.0
44,2064,64.79063,6.775773,28.4336,0.0
45,2065,64.79063,6.775773,28.4336,0.0
46,2066,64.79063,6.775773,28.4336,0.0
47,2067,64.79063,6.775773,28.4336,0.0
48,2068,64.79063,6.775773,28.4336,0.0
49,2069,64.79063,6.775773,28.4336,0.0
50,2070,64.79063,6.775773,28.4336,0.0
51,2071,64.79063,6.775773,28.4336,0.0
52,2072,64.79063,6.775773,28.4336,0.0
53,2073,64.79063,6.775773,28.4336,0.0
54,2074,64.79063,6.775773,28.4336,0.0
55,2075,64.79063,6.775773,28.4336,0.0
56,2076,64.79063,6.775773,28.4336,0.0
57,2077,64.79063,6.775773,28.4336,0.0
58,2078,64.79063,6.775773,28.4336,0.0
59,2079,64.79063,6.775773,28.4336,0.0
60,2080,64.79063,6.775773,28.4336,0.0
61,2081,64.79063,6.775773,28.4336,0.0
62,2082,64.79063,6.775773,28.4336,0.0
63,2083,64.79063,6.775773,28.4336,0.0
64,2084,64.79063,6.775773,28.4336,0.0
65,2085,64.79063,6.775773,28.4336,0.0
66,2086,64.79063,6.775773,28.4336,0.0
67,2087,64.79063,6.775773,28.4336,0.0
68,2088,64.79063,6.775773,28.4336,0.0
69,2089,64.79063,6.775773,28.4336,0.0
70,2090,64.79063,6.775773,28.4336,0.0
71,2091,64.79063,6.775773,28.4336,0.0
72,2092,64.79063,6.775773,28.4336,0.0
73,2093,64.79063,6.775773,28.4336,0.0
74,2094,64.79063,6.775773,28.4336,0.0
75,2095,64.79063,6.775773,28.4336,0.0
76,2096,64.79063,6.775773,28.4336,0.0
77,2097,64.79063,6.775773,28.4336,0.0
78,2098,64.79063,6.775773,28.4336,0.0
79,2099,64.79063,6.775773,28.4336,0.0
80,2100,64.79063,6.775773,28.4336,0.0
