Entity,Code,Year,"Biofuels (TWh, direct energy)","Other renewables (TWh, direct energy)","Solar (TWh, direct energy)","Wind (TWh, direct energy)","Hydropower (TWh, direct energy)","Nuclear (TWh, direct energy)","Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)","Traditional biomass (TWh, direct energy)"
World,OWID_WRL,1800,0,0,0,0,0,0,0,0,97,5556
World,OWID_WRL,1810,0,0,0,0,0,0,0,0,128,5833
World,OWID_WRL,1820,0,0,0,0,0,0,0,0,153,6111
World,OWID_WRL,1830,0,0,0,0,0,0,0,0,264,6389
World,OWID_WRL,1840,0,0,0,0,0,0,0,0,356,6944
World,OWID_WRL,1850,0,0,0,0,0,0,0,0,569,7222
World,OWID_WRL,1860,0,0,0,0,0,0,0,0,1061,6944
World,OWID_WRL,1870,0,0,0,0,0,0,0,6,1642,6944
World,OWID_WRL,1880,0,0,0,0,0,0,0,33,2542,6944
World,OWID_WRL,1890,0,0,0,0,14,0,33,89,3856,6667
World,OWID_WRL,1900,0,0,0,0,17,0,64,181,5728,6111
World,OWID_WRL,1910,0,0,0,0,33,0,142,397,8656,6389
World,OWID_WRL,1920,0,0,0,0,64,0,233,889,9833,6944
World,OWID_WRL,1930,0,0,0,0,131,0,603,1756,10125,7222
World,OWID_WRL,1940,0,0,0,0,192,0,875,2653,11586,7222
World,OWID_WRL,1950,0,0,0,0,333,0,2092,5444,12603,7500
World,OWID_WRL,1960,0,0,0,0,689,0,4472,11097,15442,8889
World,OWID_WRL,1965,9.029861,17.985231,0,0,923.19806,25.539724,6303.8267,17996.53,16140.178,9162
World,OWID_WRL,1966,9.209844,19.806007,0,0,983.81696,34.43329,6868.8228,19352.656,16324.094,9218
World,OWID_WRL,1967,9.383716,19.98657,0,0,1005.7424,41.006016,7374.067,20744.31,16060.81,9274
World,OWID_WRL,1968,9.5538,22.120045,0,0,1059.2887,52.113163,8044.3594,22499.12,16301.146,9331
World,OWID_WRL,1969,9.723981,23.257965,0,0,1121.7424,61.783413,8833.446,24363.566,16798.734,9387
World,OWID_WRL,1970,13.501494,25.701897,0,0,1174.6497,78.87466,9614.819,26520.377,17058.607,9444
World,OWID_WRL,1971,13.562146,27.888294,0,0,1227.2422,109.70418,10293.2,28021.105,16965.777,9499
World,OWID_WRL,1972,14.82311,29.888775,0,0,1284.629,152.17516,10861.724,30139.71,17158.637,9553
World,OWID_WRL,1973,14.250557,32.09585,0,0,1303.013,203.90158,11377.838,32560.594,17667.85,9608
World,OWID_WRL,1974,14.334716,34.289085,0,0,1431.2317,266.6001,11659.864,32120.803,17682.05,9663
World,OWID_WRL,1975,13.688392,34.81208,0,0,1448.8834,369.8482,11659.741,31746.924,18024.537,9718
World,OWID_WRL,1976,13.751189,38.79105,0,0,1443.1366,432.67142,12354.144,33782.324,18688.486,9774
World,OWID_WRL,1977,18.318535,40.89204,0,0,1491.6724,538.5478,12759.843,34960.312,19241.3,9830
World,OWID_WRL,1978,23.178774,43.29665,0,0.003,1614.3823,625.7944,13293.952,36550.02,19457.904,9886
World,OWID_WRL,1979,28.023214,46.499256,0,0.006,1695.1862,650.8599,14118.032,37114.258,20363.537,9943
World,OWID_WRL,1980,32.78612,49.717464,0,0.0105,1731.6493,711.9242,14236.961,35525.133,20857.61,10000
World,OWID_WRL,1981,29.747923,53.48617,0,0.0105,1768.9036,840.75073,14395.873,34268.04,21149.68,10106
