GDP current prices (Purchasing power parity billions of international dollars),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.661,21.792,22.527,25.982,28.22,32.848,34.772,42.198,46.309,50.334,59.945,63.784,69.444,72.056,70.098,74.712,77.418,81.889,81.007,67.093,no data,no data,no data,no data,no data,no data,no data
Albania,5.759,6.663,7.28,7.649,8.083,8.214,8.848,8.994,9.181,10.476,9.782,7.281,6.911,7.754,8.664,9.633,10.702,9.697,10.672,12.217,13.362,14.796,15.708,16.904,18.315,19.933,21.761,23.686,25.951,26.994,28.331,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.061,41.631,40.781,46.409,52.066,55.928,59.099,62.358,65.762,69.285,73.015
Algeria,89.746,101.183,114.311,125.202,136.986,149.231,151.931,154.599,157.01,170.999,178.817,182.647,189.798,190.211,192.526,204.126,215.762,221.897,235.839,246.815,261.998,275.938,295.932,323.5,346.468,378.416,396.663,421.124,439.329,449.362,471.208,494.947,497.33,497.988,506.135,477.358,471.382,478.068,495.437,509.366,489.697,529.091,584.271,628.99,663.394,693.851,720.608,746.502,773.281
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.221,2.456,2.607,2.89,3.209,3.488,3.769,3.931,3.783,3.606,3.577,3.651,3.571,3.563,3.718,3.784,4.072,4.215,4.385,4.553,4.097,4.636,5.397,5.711,5.928,6.138,6.351,6.564,6.786
Angola,10.89,11.396,12.1,13.102,14.389,15.364,16.128,17.201,18.899,19.649,19.681,22.805,25.984,29.518,33.317,37.541,42.513,46.392,49.115,50.893,53.636,57.151,65.974,69.288,78.94,93.652,107.69,126.095,142.863,145.013,153.887,162.539,186.124,199.866,220.365,204.604,204.875,217.805,220.106,222.48,212.676,224.894,247.977,260.323,274.937,289.957,305.79,322.417,340.304
Antigua and Barbuda,0.274,0.311,0.33,0.361,0.412,0.458,0.521,0.569,0.62,0.678,0.724,0.765,0.792,0.853,0.929,0.908,0.985,1.057,1.12,1.177,1.279,1.248,1.281,1.385,1.504,1.652,1.919,2.155,2.196,1.946,1.815,1.816,1.772,1.72,1.762,1.77,1.883,1.893,2.071,2.2,1.838,2.047,2.376,2.601,2.804,2.98,3.124,3.271,3.426
Argentina,172.522,177.997,183.044,197.314,208.525,200.165,218.786,229.867,233.316,225.476,230.785,263.638,297.418,323.499,349.671,346.845,372.716,409.894,430.468,421.755,427.907,418.256,378.498,420.534,470.303,527.986,588.077,658.373,698.222,661.108,736.799,797.264,819.698,849.616,839.897,867.177,885.228,1039.331,1036.461,1033.941,943.733,1091.817,1226.204,1239.515,1302.455,1371.892,1440.47,1507.144,1573.449
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.605,4.932,5.309,5.856,6.271,6.595,7.088,7.416,8.027,8.985,10.477,12.185,13.822,16.268,18.983,22.176,24.172,20.884,21.6,23.086,27.009,28.5,29.231,29.167,31.429,35.677,38.443,42.119,39.618,43.75,52.715,58.497,62.814,66.964,71.335,75.908,80.794
Aruba,no data,no data,no data,no data,no data,no data,0.741,0.882,1.083,1.262,1.361,1.519,1.645,1.807,1.997,2.09,2.155,2.346,2.42,2.488,2.74,2.918,2.936,3.027,3.335,3.426,3.572,3.782,3.925,3.489,3.434,3.624,3.552,3.799,3.817,3.893,3.941,4.098,4.297,4.273,3.291,4.389,5.187,5.502,5.694,5.879,6.059,6.237,6.423
Australia,155.417,177.141,188.205,194.649,214.473,233.326,243.852,262.109,282.893,307.636,323.961,331.571,347.92,370.166,396.409,416.682,441.386,469.757,497.133,526.097,554.652,582.207,615.905,647.023,691.709,734.791,777.282,833.211,870.777,893.439,925.999,971.371,983.804,1083.915,1110.947,1111.496,1171.523,1229.281,1294.273,1343.15,1335.777,1468.448,1629.322,1719.262,1779.967,1851.755,1929.007,2009.403,2093.752
