variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
methane.FossilGas.methane_FossilGas_array_mix,"[1.85200000e+02 1.17387230e+02 6.49548105e+01 4.70628571e+01
 3.20304762e+01 1.69980952e+01 1.96571429e+00 1.00000000e-06]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
methane.UpgradingBiogas.methane_UpgradingBiogas_array_mix,"[ 0.87625532  4.85285508  3.37813883  4.52238784  5.96081216  7.39923647
  8.83766079 10.27608511]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
methane.Methanation.methane_Methanation_array_mix,[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.PlasmaCracking.hydrogen_gaseous_hydrogen_PlasmaCracking_array_mix,"[0.03       1.96446647 4.25311953 4.97914286 5.56352381 6.14790476
 6.73228571 7.31666667]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.WaterGasShift.hydrogen_gaseous_hydrogen_WaterGasShift_array_mix,"[ 0.3        19.64466472 42.53119534 49.79142857 55.6352381  61.47904762
 67.32285714 73.16666667]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.SOEC.hydrogen_gaseous_hydrogen_Electrolysis_SOEC_array_mix,"[  0.89        58.27917201 126.17587949 147.71457143 165.05120635
 182.38784127 199.72447619 217.06111111]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.AWE.hydrogen_gaseous_hydrogen_Electrolysis_AWE_array_mix,"[  0.89        58.27917201 126.17587949 147.71457143 165.05120635
 182.38784127 199.72447619 217.06111111]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
hydrogen.gaseous_hydrogen.Electrolysis.PEM.hydrogen_gaseous_hydrogen_Electrolysis_PEM_array_mix,"[  0.89        58.27917201 126.17587949 147.71457143 165.05120635
 182.38784127 199.72447619 217.06111111]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
biogas.AnaerobicDigestion.biogas_AnaerobicDigestion_array_mix,"[ 3.432      19.00701574 13.23104373 17.71268571 23.34651429 28.98034286
 34.61417143 40.248     ]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
syngas.BiomassGasification.syngas_BiomassGasification_array_mix,"[  98.03341046  542.92615852  377.9383278   505.95425088  666.88182338
  827.80939588  988.73696838 1149.66454088]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
syngas.SMR.syngas_SMR_array_mix,"[ 22.94739714 127.08669541  88.4667876  118.43241067 156.10190416
 193.77139764 231.44089112 269.1103846 ]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
syngas.Pyrolysis.syngas_Pyrolysis_array_mix,[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
syngas.AutothermalReforming.syngas_AutothermalReforming_array_mix,[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
syngas.CoElectrolysis.syngas_CoElectrolysis_array_mix,[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
syngas.CoalGasification.syngas_CoalGasification_array_mix,"[ 4.79430861 26.5517189  18.48301483 24.74361354 32.61375131 40.48388909
 48.35402686 56.22416463]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
fuel.liquid_fuel.Refinery.fuel_liquid_fuel_Refinery_array_mix,"[4.72500000e+02 2.42872070e+02 1.42462974e+02 6.65914286e+01
 1.00000000e-06 1.00000000e-06 1.00000000e-06 1.00000000e-06]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
fuel.liquid_fuel.FischerTropsch.fuel_liquid_fuel_FischerTropsch_array_mix,"[ 5.082      28.14500408 19.59212245 26.2284     34.5708     42.9132
 51.2556     59.598     ]",[1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06 1.e-06],[3000. 3000. 3000. 3000. 3000. 3000. 3000. 3000.],True,"[True, True, True, True, True, True, True, True]"
