years,Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction
2020,438.1,788.86,0.0,3980.1,1110.55
2021,438.1,788.86,0.0,3980.1,1110.55
2022,438.1,788.86,0.0,3980.1,1110.55
2023,438.1,788.86,0.0,3980.1,1110.55
2024,438.1,788.86,0.0,3980.1,1110.55
2025,438.1,788.86,0.0,3980.1,1110.55
2026,438.1,788.86,0.0,3980.1,1110.55
2027,438.1,788.86,0.0,3980.1,1110.55
2028,438.1,788.86,0.0,3980.1,1110.55
2029,438.1,788.86,0.0,3980.1,1110.55
2030,438.1,788.86,0.0,3980.1,1110.55
2031,438.1,788.86,0.0,3980.1,1110.55
2032,438.1,788.86,0.0,3980.1,1110.55
2033,438.1,788.86,0.0,3980.1,1110.55
2034,438.1,788.86,0.0,3980.1,1110.55
2035,438.1,788.86,0.0,3980.1,1110.55
2036,438.1,788.86,0.0,3980.1,1110.55
2037,438.1,788.86,0.0,3980.1,1110.55
2038,438.1,788.86,0.0,3980.1,1110.55
2039,438.1,788.86,0.0,3980.1,1110.55
2040,438.1,788.86,0.0,3980.1,1110.55
2041,438.1,788.86,0.0,3980.1,1110.55
2042,438.1,788.86,0.0,3980.1,1110.55
2043,438.1,788.86,0.0,3980.1,1110.55
2044,438.1,788.86,0.0,3980.1,1110.55
2045,438.1,788.86,0.0,3980.1,1110.55
2046,438.1,788.86,0.0,3980.1,1110.55
2047,438.1,788.86,0.0,3980.1,1110.55
2048,438.1,788.86,0.0,3980.1,1110.55
2049,438.1,788.86,0.0,3980.1,1110.55
2050,438.1,788.86,0.0,3980.1,1110.55
2051,438.1,788.86,0.0,3980.1,1110.55
2052,438.1,788.86,0.0,3980.1,1110.55
2053,438.1,788.86,0.0,3980.1,1110.55
2054,438.1,788.86,0.0,3980.1,1110.55
2055,438.1,788.86,0.0,3980.1,1110.55
2056,438.1,788.86,0.0,3980.1,1110.55
2057,438.1,788.86,0.0,3980.1,1110.55
2058,438.1,788.86,0.0,3980.1,1110.55
2059,438.1,788.86,0.0,3980.1,1110.55
2060,438.1,788.86,0.0,3980.1,1110.55
2061,438.1,788.86,0.0,3980.1,1110.55
2062,438.1,788.86,0.0,3980.1,1110.55
2063,438.1,788.86,0.0,3980.1,1110.55
2064,438.1,788.86,0.0,3980.1,1110.55
2065,438.1,788.86,0.0,3980.1,1110.55
2066,438.1,788.86,0.0,3980.1,1110.55
2067,438.1,788.86,0.0,3980.1,1110.55
2068,438.1,788.86,0.0,3980.1,1110.55
2069,438.1,788.86,0.0,3980.1,1110.55
2070,438.1,788.86,0.0,3980.1,1110.55
2071,438.1,788.86,0.0,3980.1,1110.55
2072,438.1,788.86,0.0,3980.1,1110.55
2073,438.1,788.86,0.0,3980.1,1110.55
2074,438.1,788.86,0.0,3980.1,1110.55
2075,438.1,788.86,0.0,3980.1,1110.55
2076,438.1,788.86,0.0,3980.1,1110.55
2077,438.1,788.86,0.0,3980.1,1110.55
2078,438.1,788.86,0.0,3980.1,1110.55
2079,438.1,788.86,0.0,3980.1,1110.55
2080,438.1,788.86,0.0,3980.1,1110.55
2081,438.1,788.86,0.0,3980.1,1110.55
2082,438.1,788.86,0.0,3980.1,1110.55
2083,438.1,788.86,0.0,3980.1,1110.55
2084,438.1,788.86,0.0,3980.1,1110.55
2085,438.1,788.86,0.0,3980.1,1110.55
2086,438.1,788.86,0.0,3980.1,1110.55
2087,438.1,788.86,0.0,3980.1,1110.55
2088,438.1,788.86,0.0,3980.1,1110.55
2089,438.1,788.86,0.0,3980.1,1110.55
2090,438.1,788.86,0.0,3980.1,1110.55
2091,438.1,788.86,0.0,3980.1,1110.55
2092,438.1,788.86,0.0,3980.1,1110.55
2093,438.1,788.86,0.0,3980.1,1110.55
2094,438.1,788.86,0.0,3980.1,1110.55
2095,438.1,788.86,0.0,3980.1,1110.55
2096,438.1,788.86,0.0,3980.1,1110.55
2097,438.1,788.86,0.0,3980.1,1110.55
2098,438.1,788.86,0.0,3980.1,1110.55
2099,438.1,788.86,0.0,3980.1,1110.55
2100,438.1,788.86,0.0,3980.1,1110.55
