years,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2020,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2072,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2073,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2074,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2075,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2076,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2079,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2082,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2084,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2091,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,2168.19,438.10,788.86,0.0,3980.10,1110.55,610.50,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
