years,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2020,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,610.5,161.35,0.0,167.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
