years,population
2020,7886.69358
2021,7966.665211
2022,8045.375451
2023,8122.797867
2024,8198.756532
2025,8273.083818
2026,8345.689982
2027,8416.57613
2028,8485.795919
2029,8553.312856
2030,8619.058953
2031,8683.042395
2032,8745.257656
2033,8805.680119
2034,8864.337481
2035,8921.246891
2036,8976.395584
2037,9029.771873
2038,9081.354412
2039,9131.121464
2040,9179.083525
2041,9225.208209
2042,9269.477788
2043,9311.832053
2044,9352.201944
2045,9390.558602
2046,9426.867911
2047,9461.124288
2048,9493.330078
2049,9523.465887
2050,9551.506077
2051,9577.443894
2052,9601.291404
2053,9623.075287
2054,9642.80847
2055,9660.498856
2056,9676.158366
2057,9689.826469
2058,9701.54988
2059,9711.366041
2060,9719.318272
2061,9725.419042
2062,9729.702777
2063,9732.206794
2064,9732.922689
2065,9731.871402
2066,9729.064465
2067,9724.513081
2068,9718.249401
2069,9710.282554
2070,9700.610324
2071,9689.251038
2072,9676.243561
2073,9661.590658
2074,9645.329918
2075,9627.498797
2076,9608.104964
2077,9587.197508
2078,9564.828118
2079,9541.038722
2080,9515.888869
2081,9489.415825
2082,9461.693469
2083,9432.803085
2084,9402.775341
2085,9371.660258
2086,9339.478398
2087,9306.261187
2088,9272.043294
2089,9236.831993
2090,9200.632391
2091,9163.429244
2092,9125.227987
2093,9086.036337
2094,9045.87235
2095,9004.753844
2096,8962.700979
2097,8919.730768
2098,8875.855926
2099,8831.098444
2100,8785.553666
