years,"Agriculture, forestry and fishing"
2020,100.0
2021,100.0
2022,100.0
2023,100.0
2024,100.0
2025,100.0
2026,100.0
2027,100.0
2028,100.0
2029,100.0
2030,100.0
2031,100.0
2032,100.0
2033,100.0
2034,100.0
2035,100.0
2036,100.0
2037,100.0
2038,100.0
2039,100.0
2040,100.0
2041,100.0
2042,100.0
2043,100.0
2044,100.0
2045,100.0
2046,100.0
2047,100.0
2048,100.0
2049,100.0
2050,100.0
2051,100.0
2052,100.0
2053,100.0
2054,100.0
2055,100.0
2056,100.0
2057,100.0
2058,100.0
2059,100.0
2060,100.0
2061,100.0
2062,100.0
2063,100.0
2064,100.0
2065,100.0
2066,100.0
2067,100.0
2068,100.0
2069,100.0
2070,100.0
2071,100.0
2072,100.0
2073,100.0
2074,100.0
2075,100.0
2076,100.0
2077,100.0
2078,100.0
2079,100.0
2080,100.0
2081,100.0
2082,100.0
2083,100.0
2084,100.0
2085,100.0
2086,100.0
2087,100.0
2088,100.0
2089,100.0
2090,100.0
2091,100.0
2092,100.0
2093,100.0
2094,100.0
2095,100.0
2096,100.0
2097,100.0
2098,100.0
2099,100.0
2100,100.0
