years,Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction
2020,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2021,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2022,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2023,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2024,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2025,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2026,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2027,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2028,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2029,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2030,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2031,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2032,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2033,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2034,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2035,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2036,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2037,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2038,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2039,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2040,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
2041,8.833117122004742,62.205984856480015,6.630482734248703,2.361072219922611,19.969343067343942
