years,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Household
2020,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2021,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2022,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2023,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2024,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2025,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2026,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2027,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2028,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2029,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2030,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2031,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2032,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2033,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2034,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
2035,3.595007711728963,2.504489318639117,17.637513742501152,1.879967508183353,0.6694443279372779,5.661988369633685,10.926726523808886," 4.590837205165746",2.521909632374707,4.867754179157224,6.309390679387074,10.053149266495739,5.33677254851548,3.673829525702081,6.62355028684197,4.629024753825849," 5.791144558061621",1.0028244283468057,1.481167262432244,0.24350817014306206,0.0
