years,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
2020,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2021,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2022,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2023,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2024,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2025,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2026,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2027,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2028,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2029,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2030,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2031,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2032,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2033,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2034,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2035,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2036,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2037,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2038,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2039,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2040,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2041,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2042,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2043,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2044,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2045,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2046,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2047,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2048,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2049,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2050,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2051,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2052,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2053,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2054,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2055,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2056,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2057,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2058,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2059,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2060,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
2061,16.05653399299181,6.746113163939619,3.705879125943631,7.153035291663986,9.271481783487543,14.772835449151653,7.84224531028476,5.3985947699302175,9.73313097049091,6.802228750966888,8.509932892731774,1.473623823902586,2.1765358954238536,0.35782877909077376
