,Year,Global GDP
0,1960,10937943579113.0
1,1961,11352500501792.7
2,1962,11955869031062.7
3,1963,12575718984587.0
4,1964,13400410238679.1
5,1965,14144007217812.4
6,1966,14951993420128.7
7,1967,15572916721609.7
8,1968,16498238135289.5
9,1969,17457707943486.8
10,1970,18149097590218.0
11,1971,18925271504992.5
12,1972,19988121766299.0
13,1973,21268739777996.4
14,1974,21650938872558.7
15,1975,21788521328940.2
16,1976,22944252065368.9
17,1977,23884959813062.8
18,1978,24873000820970.3
19,1979,25911724500768.4
20,1980,26395912035292.4
21,1981,26911160334416.0
22,1982,26992803055121.5
23,1983,27701254573608.2
24,1984,29005899326466.1
25,1985,30085129593006.1
26,1986,31106603421761.0
27,1987,32272379933742.9
28,1988,33767682415332.9
29,1989,35019237744012.9
30,1990,35999470458326.4
31,1991,36492603316541.7
32,1992,37237199571451.6
33,1993,37925448464204.7
34,1994,39190171339724.5
35,1995,40397778645822.4
36,1996,41831057564838.3
37,1997,43460138034354.2
38,1998,44685790403148.1
39,1999,46273488906479.5
40,2000,48362985111660.7
41,2001,49334972404441.8
42,2002,50472054331842.5
43,2003,52042388020675.7
44,2004,54369495183056.6
45,2005,56546932681566.0
46,2006,59047277961511.6
47,2007,61634431826059.4
48,2008,62910427854929.6
49,2009,62066392484453.2
50,2010,64884413352041.2
51,2011,67038636386371.8
52,2012,68855511456251.8
53,2013,70789832142469.0
54,2014,72965579791259.5
55,2015,75215062596594.9
56,2016,77327576132182.0
57,2017,79948876884303.4
58,2018,82577635755838.5
59,2019,84720153872486.5
60,2020,82117359707107.6
61,2021,87063955702677.2
62,2022,89745805690958.2
