years,"GDP, PPP (Trillion USD$2020)"
1990,57.2752814051544
1991,57.79562139387052
1992,58.53230983433914
1993,59.39158340193792
1994,60.95791769584003
1995,62.823375346747575
1996,65.13027681918201
1997,67.68083925182303
1998,69.37572954421832
1999,71.84557148354044
2000,75.2859454089979
2001,77.08811933302924
2002,79.18295744376135
2003,82.09260306640915
2004,86.29779202182719
2005,90.22093453687496
2006,94.88454240205017
2007,99.80849785947936
2008,102.57925580195135
2009,101.82293128654945
2010,107.00935046069472
2011,111.19052977947648
2012,114.67423695588768
2013,118.38851689195585
2014,122.41816095348192
2015,126.4771792623168
2016,130.5855061867075
2017,135.56136374579137
2018,140.5022907749971
2019,144.5768573363645
2020,140.4032953261219
2021,149.37882404725153
2022,154.31027279767585
2023,159.17172913544545
