Year,Inflation Rate (%), Annual Change,
1981,12.4424
1982,10.2217,-2.22
1983,8.6693,-1.55
1984,8.0803,-0.59
1985,6.8076,-1.27
1986,5.8227,-0.98
1987,5.7101,-0.11
1988,7.1134,1.4
1989,6.9239,-0.19
1990,8.0635,1.14
1991,8.9969,0.93
1992,7.6361,-1.36
1993,7.1446,-0.49
1994,10.2479,3.1
1995,9.0774,-1.17
1996,6.5261,-2.55
1997,5.5541,-0.97
1998,5.0973,-0.46
1999,3.0419,-2.06
2000,3.4335,0.39
2001,3.8366,0.4
2002,2.908,-0.93
2003,3.025,0.12
2004,3.518,0.49
2005,4.1073,0.59
2006,4.2672,0.16
2007,4.8102,0.54
2008,8.95,4.14
2009,2.8604,-6.09
2010,3.3263,0.47
2011,4.8224,1.5
2012,3.7253,-1.1
2013,2.6211,-1.1
2014,2.3463,-0.27
2015,1.4343,-0.91
2016,1.55,0.12
2017,2.192,0.64
2018,2.4387,0.25
2019,2.2061,-0.23
2020,1.929,-0.28
2021,3.4754,1.55
2022,8.2718,4.8
