years,Net energy consumption [PWh],World GDP [T$]
1971,49.14253931,25.600
1972,51.44726338,27.100
1973,53.94282093,28.800
1974,53.87115421,29.400
1975,54.37476572,29.600
1976,56.77726764,31.200
1977,58.77393591,32.400
1978,60.90338206,33.700
1979,62.71171684,35.100
1980,62.14199416,35.900
1981,61.76727164,36.500
1982,61.14366003,36.600
1983,61.71393826,37.500
1984,64.03977345,39.100
1985,65.02588535,40.500
1986,66.53227545,41.900
1987,68.60505488,43.500
1988,70.90616784,45.400
1989,71.38672378,47.100
1990,72.59005807,49.000
1991,73.37116981,50.200
1992,73.12422517,53.000
1993,73.5922811,56.900
1994,73.96255917,58.600
1995,75.69978278,60.700
1996,76.97950603,63.100
1997,77.96922904,65.600
1998,78.15700697,67.400
1999,79.65506372,69.700
2000,81.55395413,73.100
2001,81.99062115,74.800
2002,83.38201115,77.000
2003,85.96034655,80.100
2004,89.81896074,84.300
2005,92.62396299,88.400
2006,95.06257605,93.100
2007,97.68535593,98.100
2008,98.46063432,101.000
2009,97.28952228,101.000
2010,102.6825821,106.000
2011,103.9925832,110.000
2012,105.1623064,114.000
2013,107.1628635,117.000
2015,109.4342542,119.000
2016,110.8275887,121.000
2017,112.9887015,124.000
2018,115.7378704,128.000
2019,116.5981488,133.000
2020,111.6270337,136.000
