years,Share
2020,1.32
2021,1.15
2022,1.08
2023,1.04
2024,1.01
2025,0.98
2026,0.96
2027,0.93
2028,0.91
2029,0.91
2030,0.91
2031,0.91
2032,0.91
2033,0.91
2034,0.91
2035,0.91
2036,0.91
2037,0.91
2038,0.91
2039,0.91
2040,0.91
2041,0.91
2042,0.91
2043,0.91
2044,0.91
2045,0.91
2046,0.91
2047,0.91
2048,0.91
2049,0.91
2050,0.91
2051,0.91
2052,0.91
2053,0.91
2054,0.91
2055,0.91
2056,0.91
2057,0.91
2058,0.91
2059,0.91
2060,0.91
2061,0.91
2062,0.91
2063,0.86
2064,0.86
2065,0.86
2066,0.86
2067,0.86
2068,0.86
2069,0.86
2070,0.86
2071,0.86
2072,0.86
2073,0.86
2074,0.86
2075,0.86
2076,0.86
2077,0.86
2078,0.86
2079,0.86
2080,0.8
2081,0.8
2082,0.8
2083,0.8
2084,0.8
2085,0.8
2086,0.8
2087,0.8
2088,0.8
2089,0.8
2090,0.8
2091,0.8
2092,0.8
2093,0.8
2094,0.8
2095,0.8
2096,0.8
2097,0.8
2098,0.8
2099,0.8
2100,0.8
