years,Share
2020,1.35
2021,1.35
2022,1.35
2023,1.35
2024,1.50
2025,1.50
2026,1.50
2027,1.50
2028,1.50
2029,1.50
2030,1.50
2031,1.50
2032,1.50
2033,1.50
2034,1.45
2035,1.45
2036,1.45
2037,1.45
2038,1.45
2039,1.45
2040,1.45
2041,1.45
2042,1.45
2043,1.45
2044,1.45
2045,1.45
2046,1.45
2047,1.45
2048,1.45
2049,1.45
2050,1.45
2051,1.45
2052,1.45
2053,1.45
2054,1.45
2055,1.45
2056,1.45
2057,1.45
2058,1.45
2059,1.45
2060,1.45
2061,1.45
2062,1.45
2063,1.45
2064,1.45
2065,1.45
2066,1.45
2067,1.45
2068,1.45
2069,1.45
2070,1.45
2071,1.45
2072,1.45
2073,1.45
2074,1.45
2075,1.45
2076,1.45
2077,1.45
2078,1.45
2079,1.45
2080,1.45
2081,1.45
2082,1.45
2083,1.45
2084,1.45
2085,1.45
2086,1.4
2087,1.4
2088,1.34
2089,1.3
2090,1.3
2091,1.3
2092,1.25
2093,1.25
2094,1.2
2095,1.2
2096,1.2
2097,1.2
2098,1.2
2099,1.2
2100,1.2


