years,Share
2020,1.35
2021,1.35
2022,1.35
2023,1.35
2024,1.35
2025,1.35
2026,1.35
2027,1.35
2028,1.45
2029,1.45
2030,1.45
2031,1.45
2032,1.45
2033,1.45
2034,1.45
2035,1.45
2036,1.45
2037,1.45
2038,1.45
2039,1.45
2040,1.45
2041,1.45
2042,1.45
2043,1.45
2044,1.45
2045,1.45
2046,1.45
2047,1.45
2048,1.45
2049,1.45
2050,1.2
2051,1.2
2052,1.2
2053,1.2
2054,1.2
2055,1.2
2056,1.2
2057,1.2
2058,1.2
2059,1.2
2060,1.2
2061,1.1
2062,1.1
2063,1.1
2064,1.1
2065,1.1
2066,1.1
2067,1.1
2068,1.1
2069,1.1
2070,1.1
2071,1.1
2072,1.1
2073,1.1
2074,1.1
2075,1.1
2076,1.1
2077,1.1
2078,1.1
2079,1.1
2080,1.1
2081,1.1
2082,1.1
2083,1.1
2084,1.1
2085,1.1
2086,1.0
2087,1.0
2088,1.0
2089,1.0
2090,1.0
2091,1.0
2092,1.0
2093,1.0
2094,0.6
2095,0.6
2096,0.6
2097,0.6
2098,0.6
2099,0.6
2100,0.6
