fuel.liquid_fuel.Refinery,solid_fuel.CoalExtraction
92.25131076923076,95.2217366153846
84.70379384615384,91.69953907692306
77.55862153846154,87.82947323076922
71.01696615384616,83.43760492307692
65.28,78.35
60.47740307692308,72.48481846153845
56.45288615384616,66.12859692307693
52.97866769230769,59.65996615384615
49.82696615384615,53.45755692307692
46.77,47.9
43.64955692307693,43.287709538461534
40.58570153846154,39.60823323076923
37.768067692307696,36.77090215384615
35.38628923076923,34.68504738461538
33.63,33.26
32.61820923076923,32.45402338461538
32.18742769230769,32.42111015384616
32.103541538461535,33.36418523076923
32.13243692307692,35.48617353846154
32.04,38.99
31.646486153846155,43.97243692307693
30.98962769230769,50.10564615384615
30.16152615384615,56.95563692307693
29.25428307692308,64.08841846153847
28.36,71.07
27.55192615384616,77.55822892307691
26.82790153846154,83.57830523076922
26.166913846153847,89.24726707692307
25.54795076923077,94.6821526153846
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
24.95,100.0
