variable,value,lower_bnd,upper_bnd,enable_variable,activated_elem
renewable.CleanEnergySimpleTechno.renewable_CleanEnergySimpleTechno_array_mix,"[2.421644369505039, 10.536262553067449, 655.8924550587194, 658.5671562675313, 1e-06, 601.9534440832839, 615.909210772577, 705.2396005774181]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
fossil.FossilSimpleTechno.fossil_FossilSimpleTechno_array_mix,"[610.5652374899727, 456.4409467988258, 348.0860169050778, 888.0144793095712, 101.68489033762512, 604.4325701290926, 618.1006275717148, 768.7623604741152]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.direct_air_capture.DirectAirCaptureTechno.carbon_capture_direct_air_capture_DirectAirCaptureTechno_array_mix,"[32.17621027499666, 1e-06, 5.763064636051323, 673.1069724087528, 770.401605911402, 138.93543507410143, 89.25856889534609, 110.38608896538783]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_capture.flue_gas_capture.FlueGasTechno.carbon_capture_flue_gas_capture_FlueGasTechno_array_mix,"[832.6354701793166, 759.7621097254981, 736.353158298473, 709.1196398755856, 713.5237250884826, 221.38556139865597, 79.63030008382948, 129.8498843300253]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
carbon_storage.CarbonStorageTechno.carbon_storage_CarbonStorageTechno_array_mix,"[633.3672674715541, 661.2384623407057, 660.1267088843841, 651.2251809366293, 645.1077597136223, 12.206451155868072, 9.447113474871959, 91.37585669930118]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
deforested_surface_ctrl,"[29.04326153522647, 28.521577828525125, 28.002392880873906, 27.417051492243278, 26.747863833822187, 26.168154552599887, 5.489333909767727, 4.989971595684949]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",True,"[True, True, True, True, True, True, True, True]"
forest_investment_array_mix,"[1e-06, 1e-06, 1e-06, 1e-06, 1.2722461539798744, 5.633976129512714, 60.84948750069635, 94.43946560867333]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]",True,"[True, True, True, True, True, True, True, True]"
red_meat_percentage_ctrl,"[6.819999974706828, 6.906641207738186, 5.586701709031092, 5.557056184814552, 5.578384609495304, 5.592193871676956, 6.819999997609202, 6.819999998208182]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",True,"[True, True, True, True, True, True, True, True]"
white_meat_percentage_ctrl,"[13.949999996853451, 13.960778421931986, 12.061244740154692, 12.057556749454395, 12.060210068427608, 12.061927981395915, 13.949999999702577, 13.949999999777091]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]",True,"[True, True, True, True, True, True, True, True]"
share_energy_investment_ctrl,"[1.6500000000071504, 1.6146409030433957, 1.6023382128212988, 1.612628995873402, 1.6188416362979616, 1.6499999995837875, 1.65, 1.5]","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]","[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",True,"[True, True, True, True, True, True, True, True]"
