years,forest_investment
2020,86.47747350203112
2021,89.28009191436315
2022,91.13117629067631
2023,92.1077454691009
2024,92.28681828776728
2025,91.74541358480576
2026,90.56055019834666
2027,88.80924696652028
2028,86.568522727457
2029,83.9153963192871
2030,80.92688658014093
2031,77.68001234814882
2032,74.25179246144106
2033,70.71924575814803
2034,67.15939107640001
2035,63.64924725432733
2036,60.26583313006034
2037,57.07165198082334
2038,54.07114484021657
2039,51.25423718093432
2040,48.61085447567078
2041,46.13092219712022
2042,43.804365817976915
2043,41.62111081093507
2044,39.57108264868895
2045,37.6442068039328
2046,35.83040874936086
2047,34.11961395766738
2048,32.501747901546615
2049,30.96673605369278
2050,29.504503886800162
2051,28.104976873562972
2052,26.758080486675464
2053,25.45524167362532
2054,24.19389328107389
2055,22.972969630475948
2056,21.79140504328627
2057,20.648133840959638
2058,19.542090344950825
2059,18.472208876714625
2060,17.4374237577058
2061,16.436669309379134
2062,15.468879853189412
2063,14.532989710591403
2064,13.627933203039886
2065,12.75264465198964
2066,11.90605837889544
2067,11.087108705212076
2068,10.294729952394311
2069,9.534200950915125
2070,8.83617856732021
2071,8.23766417717345
2072,7.775659156038744
2073,7.487164879479973
2074,7.409182723061029
2075,7.578714062345798
2076,8.03276027289817
2077,8.808322730282029
2078,9.942402810061273
2079,11.472001887799774
2080,13.434121339061422
2081,15.865762539410136
2082,18.803926864409757
2083,22.28561568962423
2084,26.34783039061737
2085,30.985914941346486
2086,36.02858370934235
2087,41.26289366052903
2088,46.47590176083073
2089,51.45466497617148
2090,55.98624027247546
2091,59.85768461566683
2092,62.85605497166964
2093,64.76840830640808
2094,65.38180158580626
2095,64.48329177578829
2096,61.85993584227825
2097,57.29879075120039
2098,50.58691346847871
2099,41.511360960037464
2100,29.859190191800725
